day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,85,25.5,-47.72,-14.58,25.5,25.5,25.5,25.28,84.98,189.6,142.25,84.98,84.98,84.98,84.27
1,82,48.05,-95.39,-29.19,46.11,48.01,48.01,48.29,84.92,185.25,138.02,87.69,84.98,84.98,84.27
2,113,73.5,-109.87,-11.75,70.99,73.5,73.5,73.57,84.83,182.11,136.65,82.93,84.98,84.98,84.27
3,72,86.16,-167.24,-36.1,83.07,86.01,86.01,86.59,84.77,184.82,137.64,85.6,84.98,84.98,84.27
4,104,111.52,-189.44,-27.1,106.5,116.39,116.39,111.87,84.53,180.28,135.53,78.08,101.25,101.25,84.27
5,88,136.86,-228.75,-33.65,131.27,131.51,131.51,137.15,84.47,181.88,135.81,82.58,104.12,104.12,84.27
6,63,140.77,-292.78,-65.08,134.6,125.38,125.38,141.16,84.41,181.46,134.24,85.24,98.75,98.75,84.27
7,90,165.98,-326.8,-66.43,158.38,149.61,149.61,166.44,84.04,177.18,132.33,79.27,93.97,93.97,84.27
8,64,171.19,-387.04,-95.16,165.04,149.25,149.25,171.45,83.98,177.48,131.84,81.91,91.93,91.93,84.27
9,99,196.29,-410.3,-86.11,186.9,175.71,175.71,196.73,83.64,174.66,127.04,72.86,88.2,88.2,84.27
10,98,221.36,-435.27,-78.54,211.76,202.71,202.71,222.01,83.59,175.67,129.67,82.87,90.0,90.0,84.27
11,116,246.42,-442.83,-53.82,237.43,230.22,230.22,247.29,83.53,176.51,129.95,85.57,91.68,91.68,84.27
12,38,225.99,-529.31,-107.58,209.46,202.94,202.94,226.31,83.48,177.83,131.65,94.24,93.25,93.25,84.27
13,96,250.79,-553.93,-99.11,231.12,229.77,229.77,251.59,82.66,172.32,124.2,72.2,89.44,89.44,84.27
14,119,275.57,-556.07,-68.31,253.59,257.17,257.17,276.87,82.6,173.05,125.23,74.88,91.31,91.31,84.27
15,45,262.78,-633.15,-110.4,244.27,237.01,237.01,262.88,82.55,174.4,125.35,77.59,93.08,93.08,84.27
16,96,287.36,-656.86,-99.44,268.95,263.63,263.63,288.16,81.91,171.02,122.41,82.24,88.74,88.74,84.27
17,114,311.92,-663.04,-71.16,294.47,290.77,290.77,313.44,81.86,171.68,124.11,85.07,90.45,90.45,84.27
18,80,334.65,-704.01,-78.55,312.94,306.31,306.31,334.45,81.81,172.82,122.95,87.89,92.09,92.09,84.27
19,93,359.17,-731.82,-71.56,340.76,333.22,333.22,359.73,81.73,172.59,124.96,93.12,89.71,89.71,84.27
20,134,383.68,-718.92,-34.39,367.82,360.56,360.56,385.01,81.68,172.99,124.74,90.19,91.12,91.12,84.27
21,103,408.16,-737.81,-19.94,395.73,388.3,388.3,410.29,81.63,174.13,126.17,93.05,92.48,92.48,84.27
22,122,432.64,-738.16,15.14,425.29,416.43,416.43,435.57,81.58,174.78,126.16,98.53,93.78,93.78,84.27
23,135,457.09,-726.2,53.58,455.72,444.94,444.94,460.85,81.52,175.77,127.73,101.45,95.04,95.04,84.27
24,152,481.54,-697.98,91.74,487.02,473.82,473.82,486.13,81.47,176.83,126.47,104.34,96.25,96.25,84.27
25,130,505.96,-692.51,130.53,519.2,503.05,503.05,511.41,81.42,177.89,126.27,107.24,97.43,97.43,84.27
26,87,530.38,-730.73,125.93,529.07,521.06,521.06,536.69,81.37,178.89,126.93,110.17,98.56,98.56,84.27
27,161,554.77,-694.84,165.15,558.93,550.04,550.04,561.98,81.33,178.72,130.97,99.53,96.6,96.6,84.27
28,160,579.16,-660.65,204.3,589.64,579.32,579.32,587.26,81.28,179.73,129.41,102.34,97.62,97.62,84.27
29,99,603.53,-688.22,210.39,615.01,608.91,608.91,612.54,81.23,180.81,133.84,105.18,98.61,98.61,84.27
30,127,627.88,-687.9,244.82,647.42,638.78,638.78,637.82,81.18,180.97,131.05,108.04,99.57,99.57,84.27
31,144,652.22,-671.14,284.89,680.7,668.93,668.93,663.1,81.13,181.78,131.32,110.93,100.5,100.5,84.27
32,103,676.55,-696.06,293.99,704.0,699.35,699.35,688.38,81.09,182.74,134.43,113.86,101.41,101.41,84.27
33,127,700.86,-697.12,326.6,736.86,730.04,730.04,713.66,81.04,182.95,86.18,109.54,102.3,102.3,84.27
34,133,725.16,-692.68,366.15,770.59,760.99,760.99,738.94,81.0,183.66,86.18,112.44,103.16,103.16,84.27
35,100,749.44,-721.77,371.61,789.82,788.19,788.19,764.22,80.95,184.42,86.18,115.39,104.0,104.0,84.27
36,129,773.71,-694.83,398.49,823.14,819.29,819.29,789.5,80.91,89.8,86.18,111.08,103.68,103.68,84.27
37,99,797.97,-667.89,425.36,842.35,845.16,845.16,814.78,80.86,89.8,86.18,113.99,104.48,104.48,84.27
38,82,822.22,-648.75,444.66,850.02,854.45,854.45,837.79,80.82,89.8,86.18,106.19,103.87,103.87,84.27
39,116,846.45,-621.81,471.53,880.13,884.93,884.93,863.07,80.77,89.8,86.18,100.36,101.61,101.61,84.27
40,112,870.67,-594.87,498.4,911.06,915.63,915.63,888.35,80.73,89.8,86.18,103.1,102.31,102.31,84.27
41,103,894.88,-567.93,525.27,936.46,946.53,946.53,913.63,80.69,89.8,86.18,110.86,103.0,103.0,84.27
