day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,123,45.7,30.13,52.98,45.7,45.7,45.7,50.0,91.41,185.74,140.04,91.41,91.41,91.41,100.0
1,140,91.41,73.67,113.5,92.93,91.41,91.41,100.0,91.41,192.91,158.95,94.45,91.41,91.41,100.0
2,86,131.7,59.37,117.35,130.19,131.7,131.7,136.0,91.41,200.61,164.3,97.49,91.41,91.41,100.0
3,11,97.03,-28.0,50.92,95.9,97.0,97.0,97.0,91.36,196.74,154.87,90.57,91.41,91.41,100.0
4,97,142.32,-22.64,75.42,126.03,125.76,125.76,144.0,90.58,183.27,144.99,60.26,136.48,136.48,100.0
5,78,175.03,-36.59,81.07,157.63,141.64,141.64,172.0,90.58,183.91,144.7,63.21,124.24,124.24,100.0
6,151,220.26,23.26,152.25,192.65,198.39,198.39,222.0,90.47,182.3,142.37,70.03,113.5,113.5,100.0
7,110,265.49,39.1,188.78,242.45,248.74,248.74,272.0,90.47,188.31,146.94,99.6,119.31,119.31,100.0
8,99,310.73,43.35,213.91,290.01,288.87,288.87,321.0,90.47,189.5,147.74,102.89,117.73,117.73,100.0
9,161,355.96,109.56,287.66,339.21,345.92,345.92,371.0,90.47,189.58,147.49,98.41,114.09,114.09,100.0
10,145,401.19,157.36,357.15,390.04,405.01,405.01,421.0,90.47,194.41,151.0,101.65,118.18,118.18,100.0
11,153,446.42,211.65,433.24,442.49,465.99,465.99,471.0,90.47,197.41,153.84,104.91,121.97,121.97,100.0
12,71,472.19,182.38,425.82,458.75,474.25,474.25,492.0,90.47,200.54,156.83,109.48,125.49,125.49,100.0
13,87,514.04,170.3,435.66,499.11,501.91,501.91,529.0,90.29,198.16,154.32,93.29,118.67,118.67,100.0
14,102,559.18,173.8,461.14,543.07,546.71,546.71,579.0,90.26,197.0,153.05,87.92,114.4,114.4,100.0
