day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,137,46.72,41.44,64.8,46.72,46.72,46.72,50.0,93.45,191.12,144.39,93.45,93.45,93.45,100.0
1,90,90.0,30.97,74.82,88.44,90.0,90.0,90.0,93.45,200.95,159.98,96.57,93.45,93.45,100.0
2,92,135.29,24.24,90.45,134.05,135.28,135.28,132.0,93.42,197.45,152.72,91.23,93.45,93.45,100.0
3,104,181.99,30.52,119.26,181.2,182.0,182.0,182.0,93.4,195.45,150.39,94.29,93.45,93.45,100.0
4,138,228.69,70.65,182.04,229.88,232.5,232.5,232.0,93.4,195.74,150.44,97.36,101.01,101.01,100.0
5,124,275.4,94.55,228.68,281.19,283.46,283.46,282.0,93.4,200.2,154.72,102.62,101.92,101.92,100.0
6,77,305.69,70.49,227.42,305.33,309.1,309.1,309.0,93.4,202.12,156.5,105.72,102.72,102.72,100.0
7,113,352.32,84.02,264.16,351.8,362.17,362.17,359.0,93.25,198.95,152.52,92.93,106.13,106.13,100.0
8,137,398.94,121.2,324.57,399.75,415.94,415.94,409.0,93.25,199.63,153.18,95.91,107.55,107.55,100.0
9,142,445.57,162.1,388.71,449.2,470.37,470.37,459.0,93.25,202.2,155.72,98.9,108.84,108.84,100.0
10,115,492.19,174.72,424.58,504.93,525.38,525.38,509.0,93.25,204.76,158.26,111.46,110.04,110.04,100.0
11,96,538.82,168.21,441.32,543.63,565.81,565.81,555.0,93.25,205.02,158.51,114.6,111.14,111.14,100.0
12,148,585.44,214.22,510.59,596.3,619.8,619.8,605.0,93.25,203.98,157.46,105.34,107.97,107.97,100.0
13,94,632.07,205.06,524.7,636.11,659.38,659.38,649.0,93.25,206.32,159.79,108.37,108.84,108.84,100.0
14,139,678.69,241.45,584.37,686.38,712.44,712.44,699.0,93.25,205.21,158.67,100.53,106.13,106.13,100.0
15,84,716.07,222.08,588.28,715.54,743.02,743.02,733.0,93.25,206.73,160.17,109.67,106.84,106.84,100.0
16,100,762.65,219.49,608.97,764.55,790.57,790.57,783.0,93.17,205.19,158.62,98.02,104.89,104.89,100.0
17,73,789.07,190.19,602.96,784.7,811.19,811.19,806.0,93.17,204.6,158.02,105.71,104.76,104.76,100.0
18,96,835.57,184.8,620.84,830.55,854.64,854.64,852.0,93.0,202.78,156.25,91.71,105.1,105.1,100.0
19,112,882.06,195.71,655.02,882.1,906.69,906.69,902.0,93.0,202.18,155.63,103.1,104.09,104.09,100.0
20,138,928.56,232.55,715.13,935.11,959.08,959.08,952.0,93.0,202.32,155.77,106.02,104.78,104.78,100.0
21,91,973.06,221.78,727.65,966.17,997.36,997.36,993.0,93.0,203.53,156.98,119.87,105.45,105.45,100.0
22,132,1019.56,252.4,781.54,1019.79,1049.34,1049.34,1043.0,92.98,202.77,156.21,107.23,103.96,103.96,100.0
23,128,1066.05,278.58,831.01,1074.87,1101.61,1101.61,1093.0,92.98,203.64,157.07,110.18,104.54,104.54,100.0
24,92,1111.56,268.43,844.15,1110.29,1141.05,1141.05,1135.0,92.98,204.3,157.72,113.16,105.1,105.1,100.0
25,140,1158.04,323.52,899.31,1166.66,1192.98,1192.98,1185.0,92.97,110.18,110.32,112.73,103.85,103.85,100.0
26,160,1204.53,378.61,954.47,1224.53,1245.16,1245.16,1235.0,92.97,110.18,110.32,115.75,104.35,104.35,100.0
27,106,1251.02,429.52,1005.31,1271.12,1297.57,1297.57,1285.0,92.97,110.18,110.32,118.82,104.83,104.83,100.0
28,46,1250.53,420.43,996.15,1257.75,1290.92,1290.92,1281.0,92.97,110.18,110.32,118.75,105.3,105.3,100.0
29,100,1296.84,465.34,1040.99,1303.64,1334.94,1334.94,1331.0,92.61,110.18,110.32,91.79,111.97,111.97,100.0
30,41,1291.53,451.25,1026.82,1297.35,1320.29,1320.29,1322.0,92.61,110.18,110.32,94.59,111.3,111.3,100.0
