day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,85,40.12,-1.88,20.56,40.12,40.12,40.12,35,89.76,173.76,128.88,89.76,89.76,89.76,100
1,98,84.98,9.12,53,82.07,85,85,83,89.71,174.01,131.13,83.91,89.76,89.76,100
2,84,124.12,4.74,70.26,122.04,124.12,124.12,117,89.71,176.76,133.48,88.07,89.76,89.76,100
3,113,168.95,29.61,116.9,163.67,169,169,167,89.66,176.26,132.71,83.26,89.76,89.76,100
4,82,206.12,21.58,130.74,201.58,208.54,208.54,199,89.66,180.05,136.31,88.18,84.92,84.92,100
5,83,244.33,15.08,146.18,242.92,248.97,248.97,232,89.58,179.01,135.13,82.69,85.15,85.15,100
6,74,273.57,-0.08,153.02,273.25,280.57,280.57,256,89.52,178.32,134.32,87.34,84.78,84.78,100
7,93,318.26,4.49,179.68,312.96,323.59,323.59,299,89.38,176.86,132.68,79.41,86.04,86.04,100
8,88,361.57,3.79,201.1,355.32,366.93,366.93,337,89.38,177.4,133.15,84.72,86.67,86.67,100
9,137,406.25,52.08,267.67,399.31,410.54,410.54,387,89.36,177.43,133.13,88,87.23,87.23,100
10,118,450.93,79.47,317.37,447.17,454.42,454.42,437,89.36,181.22,136.58,95.72,87.75,87.75,100
11,108,495.61,95.91,356.14,496.69,498.54,498.54,487,89.36,183.12,138.46,99.04,88.24,88.24,100
12,116,540.3,119.86,402.43,547.87,542.88,542.88,537,89.36,184.09,139.42,102.36,88.69,88.69,100
13,139,584.98,166.14,471.05,600.73,587.43,587.43,587,89.36,185.45,140.76,105.71,89.11,89.11,100
14,102,629.66,174.14,501.4,648.19,632.18,632.18,637,89.36,188,143.3,109.08,89.5,89.5,100
15,73,657.98,153.04,502.65,669.43,660.25,660.25,660,89.36,188.2,143.5,103.52,89.87,89.87,100
16,104,702.59,163.61,535.6,714.39,705.29,705.29,710,89.22,186.87,142.1,89.93,90.09,90.09,100
17,51,708.98,121,515.39,718.84,711.03,711.03,711,89.22,187.21,142.44,93.11,90.52,90.52,100
18,58,722.53,86.5,503.04,737.84,720.2,720.2,719,88.9,185,140.7,77.99,97.67,97.67,100
