day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,113,45.39,26.44,49.14,45.39,45.39,45.39,50.0,90.78,173.11,127.72,90.78,90.78,90.78,100.0
1,127,90.78,63.05,100.82,92.5,90.78,90.78,100.0,90.78,180.78,150.64,94.23,90.78,90.78,100.0
2,119,136.17,87.96,142.32,141.34,136.17,136.17,150.0,90.78,188.18,154.99,97.68,90.78,90.78,100.0
3,151,181.56,143.07,215.04,191.9,181.56,181.56,200.0,90.78,191.78,156.56,101.13,90.78,90.78,100.0
4,127,226.95,170.61,260.92,244.2,222.73,222.73,250.0,90.78,198.92,162.25,104.59,82.33,82.33,100.0
5,57,238.56,126.97,236.16,247.16,238.56,238.56,257.0,90.78,201.28,163.51,108.07,82.33,82.33,100.0
6,56,249.33,85.3,216.14,259.46,237.74,237.74,263.0,90.46,195.34,152.06,87.41,113.63,113.63,100.0
7,51,255.26,41.06,193.69,273.83,236.59,236.59,264.0,90.14,190.48,146.89,73.27,104.32,104.32,100.0
8,106,300.15,54.04,228.77,304.88,285.29,285.29,314.0,89.78,186.05,141.84,62.11,97.41,97.41,100.0
9,138,345.04,98.56,295.45,346.06,335.2,335.2,364.0,89.78,186.95,142.64,82.36,99.82,99.82,100.0
10,39,339.15,42.48,261.56,336.97,323.19,323.19,353.0,89.78,190.16,145.77,96.18,102.03,102.03,100.0
11,143,383.81,92.56,331.83,377.37,372.44,372.44,403.0,89.32,185.85,140.53,80.8,98.51,98.51,100.0
12,108,428.47,106.03,368.05,419.47,422.8,422.8,453.0,89.32,189.05,143.56,84.19,100.73,100.73,100.0
13,162,473.13,173.21,440.13,463.25,474.21,474.21,503.0,89.32,189.66,144.17,87.57,102.81,102.81,100.0
14,77,505.47,153.52,443.71,485.25,498.83,498.83,530.0,89.32,193.37,146.84,110.01,104.76,104.76,100.0
15,112,550.07,169.55,482.97,532.93,549.05,549.05,580.0,89.21,191.95,145.48,95.37,100.43,100.43,100.0
16,131,594.68,204.29,540.91,582.34,600.09,600.09,630.0,89.21,192.52,146.11,98.81,102.09,102.09,100.0
17,99,639.29,206.3,566.1,630.21,647.26,647.26,679.0,89.21,193.98,147.63,102.25,103.65,103.65,100.0
18,129,683.89,238.41,621.37,684.58,701.73,701.73,729.0,89.21,193.78,147.47,108.75,108.93,108.93,100.0
19,74,713.29,214.93,621.02,702.43,720.45,720.45,753.0,89.21,194.96,148.69,112.3,110.54,110.54,100.0
20,133,757.83,251.1,680.31,750.4,773.23,773.23,803.0,89.09,193.65,147.42,95.94,105.56,105.56,100.0
21,120,802.37,273.65,725.95,800.6,826.7,826.7,853.0,89.09,194.9,148.71,100.4,106.94,106.94,100.0
22,116,846.91,291.88,767.26,852.51,880.84,880.84,903.0,89.09,195.54,149.38,103.8,108.28,108.28,100.0
23,125,891.46,318.9,817.34,912.51,935.62,935.62,953.0,89.09,195.97,149.84,120.0,109.56,109.56,100.0
24,89,935.91,309.54,831.04,939.64,969.22,969.22,992.0,89.09,196.71,150.6,123.74,110.79,110.79,100.0
25,142,980.46,362.2,883.36,993.96,1024.08,1024.08,1042.0,89.08,105.32,104.63,108.64,109.71,109.71,100.0
26,76,1011.91,385.54,907.04,1013.9,1044.65,1044.65,1068.0,89.08,105.32,104.63,112.12,110.85,110.85,100.0
27,117,1056.41,438.2,959.36,1062.16,1098.2,1098.2,1118.0,88.98,105.32,104.63,96.53,107.09,107.09,100.0
28,131,1100.9,490.86,1011.68,1117.86,1152.25,1152.25,1168.0,88.98,105.32,104.63,111.4,108.1,108.1,100.0
