day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,91,43.94,-9.89,13.64,43.94,43.94,43.94,41.0,94.12,201.79,154.73,94.12,94.12,94.12,100.0
1,128,90.98,19.3,64.86,88.74,91.0,91.0,91.0,94.09,197.62,153.56,89.6,94.12,94.12,100.0
2,89,132.94,7.04,74.93,131.24,132.94,132.94,130.0,94.09,202.52,157.86,93.01,94.12,94.12,100.0
3,139,179.96,46.39,137.65,175.6,180.0,180.0,180.0,94.04,199.29,152.56,88.72,94.12,94.12,100.0
4,102,226.98,46.33,160.97,221.9,223.8,223.8,230.0,94.04,204.12,157.35,92.61,116.39,116.39,100.0
5,141,274.0,85.77,223.82,269.64,279.88,279.88,280.0,94.04,203.12,156.31,95.47,112.15,112.15,100.0
6,77,303.98,59.44,220.9,296.81,299.89,299.89,307.0,94.04,206.68,159.84,99.67,113.98,113.98,100.0
7,63,320.04,20.88,205.27,315.26,306.29,306.29,320.0,93.88,203.12,157.26,89.09,113.2,113.2,100.0
8,130,366.84,51.41,258.69,353.89,362.41,362.41,370.0,93.59,198.94,153.15,77.25,112.25,112.25,100.0
9,142,413.63,92.89,323.12,393.88,419.84,419.84,420.0,93.59,201.04,155.14,79.98,114.85,114.85,100.0
10,116,460.43,107.02,360.25,439.01,477.22,477.22,470.0,93.59,203.74,157.75,90.27,117.25,117.25,100.0
11,102,507.23,106.92,383.18,489.9,520.11,520.11,520.0,93.59,204.19,158.13,101.77,118.21,118.21,100.0
12,131,554.03,136.1,435.42,542.23,577.95,577.95,570.0,93.59,203.65,157.53,104.66,115.67,115.67,100.0
13,117,600.82,150.6,473.01,596.01,636.17,636.17,620.0,93.59,205.0,158.81,107.56,117.55,117.55,100.0
14,144,647.62,191.92,537.45,651.25,695.25,695.25,670.0,93.59,205.36,159.12,110.49,118.17,118.17,100.0
15,99,694.42,187.34,556.01,693.53,734.32,734.32,719.0,93.59,207.18,160.89,113.45,119.87,119.87,100.0
16,80,727.62,164.12,555.95,720.63,755.63,755.63,749.0,93.59,206.44,160.11,105.79,117.38,117.38,100.0
17,118,774.36,179.71,594.72,767.75,813.06,813.06,799.0,93.48,204.82,158.46,94.23,114.87,114.87,100.0
18,65,792.62,142.12,580.33,784.26,819.93,819.93,814.0,93.48,205.17,158.77,96.97,116.26,116.26,100.0
19,103,839.24,143.59,605.28,828.35,865.59,865.59,864.0,93.24,203.07,156.11,88.17,114.68,114.68,100.0
20,81,873.62,123.18,608.36,859.61,889.82,889.82,895.0,93.24,202.82,155.84,99.47,113.54,113.54,100.0
21,92,919.05,114.35,623.02,904.8,926.09,926.09,937.0,93.14,201.66,154.68,90.38,111.45,111.45,100.0
