day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,92,43.72,10.98,34.42,44.85,44.85,44.85,42.0,89.22,162.03,117.51,89.7,89.7,89.7,100.0
1,56,54.22,-16.49,27.15,54.56,56.0,56.0,48.0,89.22,166.95,129.13,92.57,89.7,89.7,100.0
2,105,97.77,7.16,73.98,93.15,100.85,100.85,98.0,88.88,162.7,118.71,77.18,89.7,89.7,100.0
3,111,141.32,34.14,124.18,133.13,145.7,145.7,148.0,88.88,168.03,124.08,79.95,89.7,89.7,100.0
4,98,184.87,45.79,159.16,174.5,189.97,189.97,196.0,88.88,172.7,128.6,82.74,88.54,88.54,100.0
5,47,186.54,5.5,142.16,172.64,191.65,191.65,193.0,88.87,174.58,130.5,97.71,90.65,90.65,100.0
6,110,229.89,30.32,189.93,211.46,236.11,236.11,243.0,88.46,170.37,127.0,77.64,88.94,88.94,100.0
7,123,273.24,66.67,249.37,251.68,281.74,281.74,293.0,88.46,173.3,129.73,80.43,91.26,91.26,100.0
8,96,316.58,74.23,280.01,293.29,328.43,328.43,339.0,88.46,176.88,133.24,83.23,93.36,93.36,100.0
9,74,345.47,59.42,288.32,315.83,354.78,354.78,363.0,88.46,177.62,134.0,102.92,95.28,95.28,100.0
10,110,388.75,81.15,333.2,360.95,400.06,400.06,413.0,88.32,176.55,132.88,90.24,90.55,90.55,100.0
11,111,432.02,103.05,378.28,407.49,446.1,446.1,463.0,88.32,178.2,134.54,93.07,92.08,92.08,100.0
12,116,475.3,129.2,427.66,455.44,492.85,492.85,513.0,88.32,179.7,136.0,95.91,93.49,93.49,100.0
13,64,494.26,102.54,424.26,465.24,509.43,509.43,527.0,88.32,181.32,137.65,108.4,94.82,94.82,100.0
14,38,487.33,50.69,395.67,457.95,503.15,503.15,515.0,88.1,179.7,135.97,90.59,88.56,88.56,100.0
15,169,530.27,131.28,463.55,493.01,548.02,548.02,565.0,87.65,176.81,133.27,70.13,89.74,89.74,100.0
16,81,566.58,121.72,478.08,529.46,583.49,583.49,596.0,87.64,181.12,135.6,72.89,91.07,91.07,100.0
17,85,606.91,116.42,496.86,569.23,622.63,622.63,631.0,87.58,180.6,135.14,90.45,91.73,91.73,100.0
18,135,649.81,161.26,565.67,620.8,669.08,669.08,681.0,87.56,180.32,134.79,103.15,92.9,92.9,100.0
19,110,692.72,180.09,608.53,673.88,716.15,716.15,731.0,87.56,182.34,136.95,106.16,94.15,94.15,100.0
20,111,735.62,199.55,652.0,728.49,763.82,763.82,781.0,87.56,183.09,137.86,109.21,95.33,95.33,100.0
21,123,778.52,230.63,707.08,785.55,812.06,812.06,831.0,87.55,183.82,138.69,114.13,96.47,96.47,100.0
22,125,821.42,263.14,763.58,844.22,860.84,860.84,881.0,87.55,184.98,139.92,117.34,97.56,97.56,100.0
23,90,864.32,260.08,784.45,873.89,901.53,901.53,921.0,87.55,186.12,140.99,120.65,98.61,98.61,100.0
24,120,907.22,287.14,835.41,927.59,951.8,951.8,971.0,87.55,185.89,140.76,107.4,100.54,100.54,100.0
25,132,950.12,325.77,898.0,982.83,1002.59,1002.59,1021.0,87.55,186.74,141.61,110.46,101.58,101.58,100.0
26,159,993.01,390.8,970.9,1039.62,1053.88,1053.88,1071.0,87.54,187.94,142.93,113.59,102.58,102.58,100.0
27,95,1035.91,390.82,995.11,1071.11,1097.11,1097.11,1116.0,87.54,189.97,144.58,127.01,103.54,103.54,100.0
28,99,1078.81,394.92,1023.4,1113.44,1143.11,1143.11,1165.0,87.54,189.8,144.36,113.34,106.01,106.01,100.0
29,80,1114.16,380.04,1032.68,1140.63,1168.89,1168.89,1195.0,87.54,189.76,144.38,105.63,108.43,108.43,100.0
30,133,1157.03,418.46,1095.24,1187.64,1221.84,1221.84,1245.0,87.48,189.15,143.7,94.02,105.89,105.89,100.0
31,110,1199.89,433.39,1134.32,1241.4,1275.25,1275.25,1295.0,87.48,190.14,144.81,107.51,106.82,106.82,100.0
32,96,1242.75,434.18,1159.28,1279.74,1317.39,1317.39,1341.0,87.48,190.41,145.07,115.31,107.73,107.73,100.0
33,87,1285.14,426.04,1175.28,1309.5,1350.24,1350.24,1378.0,87.47,190.28,144.86,114.47,108.29,108.29,100.0
34,112,1328.0,443.08,1216.46,1360.66,1403.7,1403.7,1428.0,87.47,189.92,144.56,102.32,106.9,106.9,100.0
35,81,1364.39,473.82,1248.46,1389.05,1430.83,1430.83,1459.0,87.47,100.53,100.03,105.22,107.73,107.73,100.0
36,109,1407.23,524.08,1299.46,1439.34,1483.71,1483.71,1509.0,87.42,100.53,100.03,100.57,105.76,105.76,100.0
37,67,1429.65,540.82,1317.46,1450.04,1497.45,1497.45,1526.0,87.42,100.53,100.03,112.59,106.53,106.53,100.0
38,76,1461.14,566.56,1344.47,1478.83,1521.38,1521.38,1552.0,87.26,100.53,100.03,94.43,104.14,104.14,100.0
39,113,1503.86,616.82,1395.46,1525.51,1572.51,1572.51,1602.0,87.18,100.53,100.03,93.36,102.27,102.27,100.0
40,125,1546.58,667.08,1446.46,1573.58,1623.98,1623.98,1652.0,87.18,100.53,100.03,96.14,102.94,102.94,100.0
41,129,1589.29,717.35,1497.46,1630.65,1675.78,1675.78,1702.0,87.18,100.53,100.03,114.13,103.6,103.6,100.0
42,114,1632.01,767.61,1548.45,1682.97,1727.9,1727.9,1752.0,87.18,100.53,100.03,123.36,104.24,104.24,100.0
43,109,1674.73,817.87,1599.45,1733.14,1780.34,1780.34,1802.0,87.17,100.53,100.03,117.65,104.87,104.87,100.0
44,116,1717.44,868.14,1650.45,1789.17,1833.08,1833.08,1852.0,87.17,100.53,100.03,112.07,105.49,105.49,100.0
45,97,1760.16,914.87,1698.45,1828.62,1877.04,1877.04,1899.0,87.17,100.53,100.03,115.11,106.09,106.09,100.0
46,112,1802.87,965.14,1749.45,1883.28,1930.38,1930.38,1949.0,87.17,100.53,100.03,109.31,106.69,106.69,100.0
47,61,1819.41,975.87,1761.45,1886.69,1937.74,1937.74,1960.0,87.17,100.53,100.03,115.17,107.28,107.28,100.0
48,90,1862.04,1015.61,1802.45,1929.59,1975.03,1975.03,2000.0,86.99,100.53,100.03,94.21,105.43,105.43,100.0
49,110,1904.66,1065.87,1853.45,1977.54,2027.5,2027.5,2050.0,86.99,100.53,100.03,95.91,104.95,104.95,100.0
50,126,1947.28,1116.14,1904.45,2026.89,2080.25,2080.25,2100.0,86.98,100.53,100.03,98.7,105.5,105.5,100.0
51,93,1989.9,1158.87,1948.45,2060.11,2120.24,2120.24,2143.0,86.98,100.53,100.03,119.57,106.04,106.04,100.0
52,128,2032.52,1209.14,1999.45,2114.72,2173.18,2173.18,2193.0,86.98,100.53,100.03,109.22,105.88,105.88,100.0
53,89,2075.14,1247.87,2039.45,2147.63,2208.98,2208.98,2232.0,86.98,100.53,100.03,112.17,106.4,106.4,100.0
54,75,2105.79,1272.61,2065.45,2171.87,2231.1,2231.1,2257.0,86.98,100.53,100.03,101.53,105.75,105.75,100.0
55,81,2142.47,1303.35,2097.46,2203.56,2259.95,2259.95,2288.0,86.9,100.53,100.03,98.61,104.29,104.29,100.0
56,56,2154.17,1309.08,2104.46,2214.65,2264.36,2264.36,2294.0,86.86,100.53,100.03,89.82,103.19,103.19,100.0
57,158,2196.63,1359.35,2155.46,2256.35,2315.45,2315.45,2344.0,86.66,100.53,100.03,83.4,102.19,102.19,100.0
58,65,2217.44,1374.08,2171.46,2273.87,2329.13,2329.13,2359.0,86.66,100.53,100.03,94.96,102.65,102.65,100.0
59,106,2259.83,1424.35,2222.46,2317.83,2379.81,2379.81,2409.0,86.52,100.53,100.03,87.92,101.37,101.37,100.0
