day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,64,17.51,-25.0,-1.75,17.51,17.51,17.51,14.0,92.99,177.99,131.5,92.99,92.99,92.99,100.0
1,126,63.86,14.63,57.5,55.03,64.0,64.0,64.0,92.7,172.74,133.5,75.06,92.99,92.99,100.0
2,71,88.5,-5.36,57.86,84.6,88.5,88.5,85.0,92.7,181.99,141.29,82.87,92.99,92.99,100.0
3,27,69.26,-67.86,16.19,73.82,69.01,69.01,62.0,92.49,178.99,137.33,75.56,92.99,92.99,100.0
4,57,80.33,-96.14,10.59,98.32,78.88,78.88,69.0,91.86,170.56,125.21,65.01,94.27,94.27,100.0
5,140,126.09,-40.13,71.84,127.65,122.38,122.38,119.0,91.53,167.99,122.5,58.67,87.01,87.01,100.0
6,69,149.33,-58.74,77.01,160.44,145.61,145.61,138.0,91.53,175.21,127.66,65.57,91.55,91.55,100.0
7,116,194.99,-29.68,129.78,202.85,189.07,189.07,188.0,91.32,173.89,126.44,84.83,86.93,86.93,100.0
8,55,204.33,-63.22,119.92,212.47,198.93,198.93,193.0,91.32,177.08,129.72,90.76,90.28,90.28,100.0
9,101,249.82,-49.55,157.24,250.06,241.71,241.71,243.0,90.99,174.66,127.37,75.18,85.55,85.55,100.0
10,134,295.31,-3.62,221.7,289.25,285.82,285.82,293.0,90.99,176.14,128.92,78.37,88.22,88.22,100.0
11,35,284.82,-58.51,190.58,283.46,275.47,275.47,278.0,90.99,179.78,132.24,81.58,90.7,90.7,100.0
12,109,330.06,-37.67,235.15,320.55,319.09,319.09,328.0,90.49,176.32,128.86,74.17,87.24,87.24,100.0
13,96,375.31,-30.64,265.89,359.25,363.87,363.87,374.0,90.49,177.93,130.52,77.41,89.57,89.57,100.0
14,90,420.06,-29.92,290.28,399.58,407.99,407.99,414.0,90.49,178.58,131.23,80.66,91.76,91.76,100.0
15,113,465.31,-6.34,337.52,449.3,454.35,454.35,464.0,90.48,178.82,131.52,99.44,92.71,92.71,100.0
16,100,510.55,3.54,371.02,497.88,501.71,501.71,514.0,90.48,180.25,132.99,102.83,94.72,94.72,100.0
17,91,555.79,4.09,395.19,539.58,544.4,544.4,555.0,90.48,180.89,133.67,98.6,96.62,96.62,100.0
18,74,584.55,-12.43,402.27,567.22,569.87,569.87,579.0,90.48,181.04,133.85,92.72,97.04,97.04,100.0
19,87,626.37,-15.63,422.64,608.73,609.62,609.62,616.0,90.34,180.4,133.24,83.02,94.51,94.51,100.0
20,104,671.53,28.07,466.02,652.33,656.65,656.65,666.0,90.32,87.39,86.76,87.2,94.07,94.07,100.0
21,89,715.37,71.76,509.4,694.85,697.86,697.86,705.0,90.32,87.39,86.76,92.98,95.59,95.59,100.0
22,71,741.22,99.07,537.02,718.56,721.19,721.19,726.0,90.31,87.39,86.76,94.58,95.34,95.34,100.0
23,41,737.15,96.37,534.64,717.91,715.56,715.56,717.0,90.15,87.39,86.76,83.29,93.26,93.26,100.0
24,162,782.02,140.07,578.02,750.68,761.21,761.21,767.0,89.75,87.39,86.76,65.54,91.29,91.29,100.0
25,145,826.9,183.76,621.4,785.68,807.51,807.51,817.0,89.75,87.39,86.76,70.0,92.59,92.59,100.0
26,133,871.78,227.46,664.78,826.19,854.43,854.43,867.0,89.75,87.39,86.76,81.02,93.84,93.84,100.0
27,123,916.65,271.16,708.16,875.36,901.95,901.95,917.0,89.75,87.39,86.76,98.34,95.05,95.05,100.0
28,83,954.78,310.46,747.78,907.52,936.84,936.84,950.0,89.75,87.39,86.76,101.68,96.22,96.22,100.0
29,146,999.63,354.16,791.16,953.56,984.53,984.53,1000.0,89.7,87.39,86.76,92.08,95.36,95.36,100.0
30,111,1044.48,397.85,834.54,1001.23,1032.75,1032.75,1050.0,89.7,87.39,86.76,95.34,96.44,96.44,100.0
31,117,1089.33,441.55,877.92,1050.53,1081.49,1081.49,1100.0,89.7,87.39,86.76,98.61,97.48,97.48,100.0
32,106,1134.18,485.24,921.29,1102.48,1130.74,1130.74,1150.0,89.7,87.39,86.76,108.11,98.5,98.5,100.0
33,93,1179.03,528.94,964.67,1143.34,1174.0,1174.0,1193.0,89.7,87.39,86.76,104.26,99.48,99.48,100.0
34,87,1221.18,572.24,1008.05,1181.72,1211.11,1211.11,1230.0,89.7,87.39,86.76,97.25,99.78,99.78,100.0
35,51,1227.34,579.55,1015.67,1187.44,1212.51,1212.51,1231.0,89.68,87.39,86.76,90.55,99.19,99.19,100.0
36,99,1272.03,623.24,1059.05,1224.75,1261.15,1261.15,1280.0,89.4,87.39,86.76,74.62,97.27,97.27,100.0
37,121,1316.73,666.94,1102.43,1265.5,1310.23,1310.23,1330.0,89.4,87.39,86.76,81.5,98.16,98.16,100.0
38,97,1361.43,710.63,1145.81,1309.53,1357.72,1357.72,1377.0,89.4,87.39,86.76,88.06,99.02,99.02,100.0
39,63,1379.73,729.94,1165.43,1320.33,1370.86,1370.86,1390.0,89.4,87.39,86.76,104.41,99.71,99.71,100.0
40,65,1400.13,751.24,1187.05,1341.71,1386.91,1386.91,1405.0,89.21,87.39,86.76,87.23,97.9,97.9,100.0
41,37,1392.61,744.55,1180.67,1340.49,1375.77,1375.77,1392.0,89.04,87.39,86.76,76.44,96.28,96.28,100.0
42,74,1422.28,774.85,1211.29,1370.4,1402.15,1402.15,1416.0,88.67,87.39,86.76,59.82,95.24,95.24,100.0
43,74,1451.99,805.16,1241.92,1406.04,1429.07,1429.07,1440.0,88.57,87.39,86.76,76.72,94.16,94.16,100.0
44,129,1496.23,848.85,1285.29,1445.96,1475.66,1475.66,1490.0,88.46,87.39,86.76,79.84,93.17,93.17,100.0
45,120,1540.46,892.55,1328.67,1494.05,1522.6,1522.6,1540.0,88.46,87.39,86.76,96.17,93.89,93.89,100.0
46,94,1584.69,936.24,1372.05,1538.31,1569.3,1569.3,1584.0,88.46,87.39,86.76,99.46,94.6,94.6,100.0
47,95,1628.92,979.94,1415.43,1585.66,1616.8,1616.8,1629.0,88.46,87.39,86.76,95.31,95.0,95.0,100.0
48,97,1673.16,1023.63,1458.81,1631.66,1664.64,1663.58,1676.0,88.46,87.39,86.76,91.99,95.68,93.56,100.0
49,95,1717.39,1067.33,1502.19,1679.04,1711.47,1710.52,1721.0,88.46,87.39,86.76,95.23,96.36,93.87,100.0
50,127,1761.62,1111.03,1545.57,1725.93,1759.84,1758.12,1771.0,88.46,87.39,86.76,93.78,96.74,95.2,100.0
51,112,1805.85,1154.72,1588.94,1774.49,1808.53,1806.83,1821.0,88.46,87.39,86.76,97.11,97.39,97.43,100.0
