day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,98,48.32,-4.85,19.99,48.32,48.32,48.32,48.0,99.37,205.7,156.02,99.37,99.37,99.37,100.0
1,101,97.99,-5.66,43.52,97.04,98.0,98.0,98.0,99.36,203.62,154.94,97.44,99.37,99.37,100.0
2,102,147.67,-5.15,68.58,146.48,147.68,147.68,148.0,99.36,202.97,153.88,98.88,99.37,99.37,100.0
3,92,189.99,-14.5,83.82,188.43,190.0,190.0,190.0,99.36,202.7,153.52,100.09,99.37,99.37,100.0
4,88,228.35,-27.04,95.69,228.15,221.72,221.72,228.0,99.29,201.08,152.26,96.57,112.57,112.57,100.0
5,101,277.94,-25.73,121.6,274.34,267.56,267.56,278.0,99.18,199.37,150.18,92.38,110.32,110.32,100.0
6,97,325.35,-28.47,143.48,321.11,310.55,310.55,325.0,99.18,199.48,150.24,93.54,108.01,108.01,100.0
7,108,374.93,-20.05,176.54,369.81,363.59,363.59,375.0,99.16,199.17,149.88,97.4,106.08,106.08,100.0
8,102,424.51,-18.01,203.24,420.53,411.96,411.96,425.0,99.16,199.92,150.59,101.44,107.26,107.26,100.0
9,82,456.93,13.66,234.74,451.2,440.83,440.83,457.0,99.16,100.67,101.0,102.66,106.26,106.26,100.0
10,90,497.43,53.32,274.24,493.98,478.03,478.03,497.0,99.0,100.67,101.0,94.45,105.61,105.61,100.0
11,90,537.97,92.99,313.74,538.14,515.95,515.95,537.0,98.92,100.67,101.0,91.67,104.15,104.15,100.0
12,90,578.55,132.66,353.24,583.05,554.5,554.5,577.0,98.84,100.67,101.0,89.81,102.9,102.9,100.0
13,91,620.17,173.32,393.74,625.13,594.58,594.58,618.0,98.76,100.67,101.0,97.84,101.84,101.84,100.0
14,88,658.82,210.99,431.24,665.25,632.11,632.11,656.0,98.69,100.67,101.0,95.75,100.95,100.95,100.0
15,87,696.52,247.66,467.74,706.05,669.06,669.06,693.0,98.6,100.67,101.0,92.4,100.1,100.1,100.0
16,100,745.77,297.32,517.24,750.68,718.71,718.71,743.0,98.5,100.67,101.0,89.26,99.31,99.31,100.0
17,112,795.02,347.66,567.74,797.03,768.73,768.73,793.0,98.5,100.67,101.0,92.7,100.03,100.03,100.0
18,109,844.27,397.99,618.24,845.26,819.08,819.08,843.0,98.5,100.67,101.0,96.47,100.71,100.71,100.0
19,103,893.52,448.32,668.74,895.01,869.76,869.76,893.0,98.5,100.67,101.0,99.48,101.35,101.35,100.0
20,106,942.77,498.66,719.24,945.36,920.74,920.74,943.0,98.5,100.67,101.0,100.71,101.97,101.97,100.0
21,90,983.52,538.32,758.74,984.39,959.47,959.47,983.0,98.5,100.67,101.0,101.94,102.56,102.56,100.0
22,87,1021.31,574.99,795.24,1023.05,995.6,995.6,1020.0,98.43,100.67,101.0,96.67,101.73,101.73,100.0
23,120,1070.47,625.32,845.74,1069.13,1046.08,1046.08,1070.0,98.34,100.67,101.0,92.14,100.95,100.95,100.0
24,105,1119.64,675.66,896.24,1115.78,1096.81,1096.81,1120.0,98.34,100.67,101.0,93.31,101.46,101.46,100.0
25,83,1153.47,708.32,928.74,1149.55,1128.83,1128.83,1153.0,98.34,100.67,101.0,98.47,101.95,101.95,100.0
26,89,1193.37,746.99,967.24,1190.94,1167.21,1167.21,1192.0,98.22,100.67,101.0,95.22,101.25,101.25,100.0
27,98,1242.29,794.66,1014.74,1236.86,1214.93,1214.93,1240.0,98.14,100.67,101.0,91.85,100.56,100.56,100.0
28,76,1269.22,820.32,1040.24,1266.35,1240.74,1240.74,1266.0,98.14,100.67,101.0,93.03,100.38,100.38,100.0
29,98,1318.21,867.99,1087.74,1311.92,1288.74,1288.74,1314.0,97.97,100.67,101.0,91.14,99.99,99.99,100.0
30,123,1367.19,918.32,1138.24,1359.13,1338.67,1338.67,1364.0,97.97,100.67,101.0,94.42,99.86,99.86,100.0
