day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,143,45.7,42.97,65.82,45.7,45.7,45.7,50.0,91.4,200.07,154.37,91.4,91.4,91.4,100.0
1,70,70.0,8.64,53.84,68.33,70.0,70.0,70.0,91.4,208.65,163.95,94.75,91.4,91.4,100.0
2,118,115.6,27.04,91.49,109.8,115.7,115.7,120.0,91.19,199.2,160.7,82.94,91.4,91.4,100.0
3,128,161.19,54.59,138.89,152.89,161.4,161.4,170.0,91.19,200.9,161.2,86.19,91.4,91.4,100.0
4,130,206.79,82.82,187.4,197.62,217.88,217.88,220.0,91.19,203.54,162.99,89.44,147.03,147.03,100.0
5,77,238.19,56.93,182.11,224.14,221.94,221.94,247.0,91.19,205.78,164.58,100.94,145.89,145.89,100.0
6,83,275.66,39.12,186.76,262.39,237.46,237.46,280.0,91.06,201.62,156.7,89.51,134.96,134.96,100.0
7,99,321.15,38.67,208.81,304.37,273.47,273.47,329.0,90.98,198.9,153.9,83.96,125.97,125.97,100.0
8,155,366.64,94.61,285.34,347.94,333.77,333.77,379.0,90.98,198.13,153.06,87.15,120.61,120.61,100.0
9,92,412.13,85.53,298.91,390.79,363.94,363.94,421.0,90.98,202.15,156.87,98.32,123.67,123.67,100.0
10,133,457.62,118.18,354.21,438.34,423.35,423.35,471.0,90.98,200.71,155.4,95.12,118.82,118.82,100.0
11,89,501.13,105.98,364.68,478.17,451.73,451.73,510.0,90.98,202.4,157.06,98.35,121.25,121.25,100.0
12,108,546.62,113.51,394.89,524.15,501.15,501.15,560.0,90.96,200.93,155.57,91.97,117.14,117.14,100.0
13,20,521.13,33.09,337.17,495.53,463.23,463.23,530.0,90.96,200.84,155.45,97.25,115.85,115.85,100.0
14,138,566.3,73.31,398.81,529.51,522.87,522.87,580.0,90.34,195.58,152.7,67.96,119.28,119.28,100.0
15,106,611.47,80.58,427.6,566.62,567.8,567.8,630.0,90.34,197.46,154.43,74.21,122.14,122.14,100.0
16,111,656.64,92.85,461.46,605.3,618.69,618.69,680.0,90.34,197.45,154.28,77.37,120.22,120.22,100.0
17,72,683.47,66.0,456.26,624.16,631.09,631.09,702.0,90.34,197.7,154.4,106.29,119.2,119.2,100.0
18,111,728.57,78.97,490.93,669.85,684.13,684.13,752.0,90.19,196.07,152.66,91.38,115.92,115.92,100.0
19,80,763.47,60.79,494.51,702.53,706.44,706.44,782.0,90.19,196.35,152.84,94.63,115.39,115.39,100.0
20,118,808.52,81.16,536.68,745.7,762.91,762.91,832.0,90.1,195.27,151.66,86.34,112.95,112.95,100.0
21,119,853.57,102.23,579.6,796.18,820.34,820.34,882.0,90.1,195.86,152.16,100.95,114.85,114.85,100.0
