day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,108,47.15,16.68,40.26,47.15,47.15,47.15,50.0,94.3,182.63,135.48,94.3,94.3,94.3,100.0
1,115,94.3,37.91,83.93,95.69,94.3,94.3,100.0,94.3,187.55,142.65,97.09,94.3,94.3,100.0
2,59,106.15,0.96,69.66,104.75,106.15,106.15,109.0,94.3,191.9,146.55,99.88,94.3,94.3,100.0
3,160,153.13,68.23,139.98,146.34,153.3,153.3,159.0,93.96,185.47,140.65,83.17,94.3,94.3,100.0
4,144,200.11,114.58,210.29,189.27,212.02,212.02,209.0,93.96,195.3,147.39,85.86,117.44,117.44,100.0
5,65,218.13,79.24,198.86,209.99,216.41,216.41,224.0,93.96,200.68,152.86,88.55,121.23,121.23,100.0
6,88,259.29,69.2,213.14,252.34,250.36,250.36,262.0,93.68,196.08,147.44,91.3,108.09,108.09,100.0
7,81,293.47,52.85,221.03,289.68,280.01,280.01,293.0,93.63,194.7,146.22,87.33,102.71,102.71,100.0
8,137,340.23,93.38,285.75,330.83,328.86,328.86,343.0,93.51,192.94,144.57,82.31,97.7,97.7,100.0
9,111,386.99,106.31,322.81,377.25,378.66,378.66,393.0,93.51,196.13,147.87,92.84,99.6,99.6,100.0
10,65,405.23,72.89,313.48,393.91,392.98,392.98,408.0,93.51,196.84,148.66,96.69,101.35,101.35,100.0
11,132,451.86,107.82,372.45,436.52,441.67,441.67,458.0,93.26,194.16,146.05,85.23,97.38,97.38,100.0
12,86,491.23,95.67,384.32,478.56,478.22,478.22,494.0,93.26,196.3,148.26,87.92,98.91,98.91,100.0
13,152,537.82,150.02,457.98,520.78,526.68,526.68,544.0,93.19,195.3,147.32,84.43,96.93,96.93,100.0
14,89,580.23,139.87,471.94,560.94,566.58,566.58,583.0,93.19,198.3,150.09,97.67,98.21,98.21,100.0
15,162,626.81,203.13,546.59,606.93,615.18,615.18,633.0,93.16,197.47,149.31,91.98,97.2,97.2,100.0
16,114,673.38,216.85,584.7,654.6,664.34,664.34,683.0,93.16,200.56,151.8,95.33,98.32,98.32,100.0
17,137,719.96,253.38,645.56,703.62,714.02,714.02,733.0,93.16,200.95,152.26,98.05,99.37,99.37,100.0
18,135,766.54,287.18,703.67,755.46,764.21,764.21,783.0,93.16,202.4,153.78,103.66,100.38,100.38,100.0
19,131,813.12,316.37,757.14,808.67,814.88,814.88,833.0,93.16,203.62,155.07,106.43,101.33,101.33,100.0
20,69,835.54,283.09,748.1,823.06,832.75,832.75,852.0,93.16,204.56,156.08,109.21,102.25,102.25,100.0
21,102,882.02,283.67,772.89,869.54,882.47,882.47,902.0,92.96,202.84,154.41,92.96,99.43,99.43,100.0
22,103,928.5,285.38,798.79,917.34,932.6,932.6,952.0,92.96,202.58,154.2,95.6,100.26,100.26,100.0
23,99,974.98,283.19,820.77,966.46,981.07,981.07,1001.0,92.96,202.38,154.05,98.24,101.06,101.06,100.0
24,52,980.5,234.17,795.89,961.31,981.51,981.51,1003.0,92.96,202.04,153.75,114.29,103.11,103.11,100.0
25,71,1005.18,205.14,790.97,986.89,1001.03,1001.03,1024.0,92.63,200.05,151.84,90.84,102.98,102.98,100.0
26,134,1051.41,239.72,849.64,1027.58,1051.21,1051.21,1074.0,92.46,198.85,150.68,81.36,100.38,100.38,100.0
27,63,1068.18,202.8,836.79,1048.6,1063.61,1063.61,1087.0,92.46,199.83,151.69,83.95,101.21,101.21,100.0
28,88,1110.07,191.57,849.61,1089.16,1102.06,1102.06,1125.0,92.23,198.46,150.35,94.89,99.09,99.09,100.0
29,114,1156.17,206.59,888.67,1137.35,1151.28,1151.28,1175.0,92.19,197.96,149.88,96.39,98.44,98.44,100.0
30,71,1181.07,178.46,884.56,1158.81,1172.69,1172.69,1196.0,92.19,198.27,150.22,99.09,99.19,99.19,100.0
31,77,1212.05,156.81,886.93,1188.88,1201.04,1201.04,1223.0,92.03,197.3,149.28,93.85,97.3,97.3,100.0
32,110,1258.01,168.53,937.63,1232.73,1248.96,1248.96,1273.0,91.92,196.56,101.41,87.69,95.84,95.84,100.0
33,57,1269.05,127.14,943.93,1244.56,1257.71,1257.71,1280.0,91.92,196.77,101.41,90.32,96.49,96.49,100.0
34,79,1302.22,108.37,972.22,1280.7,1289.03,1289.03,1309.0,91.66,195.54,101.41,85.72,95.36,95.36,100.0
35,160,1348.01,170.89,1022.93,1323.83,1336.17,1336.17,1359.0,91.56,194.96,101.41,86.26,94.28,94.28,100.0
36,63,1365.22,135.65,1035.22,1342.38,1351.73,1351.73,1372.0,91.56,196.48,101.41,88.91,94.88,94.88,100.0
37,65,1384.55,102.9,1049.52,1363.13,1369.94,1369.94,1387.0,91.36,195.5,101.41,88.5,93.58,93.58,100.0
38,51,1389.96,56.59,1049.81,1374.13,1374.78,1374.78,1388.0,91.17,194.62,101.41,80.01,92.32,92.32,100.0
39,88,1432.53,47.87,1087.11,1407.8,1416.98,1416.98,1426.0,90.88,193.44,101.41,67.35,91.61,91.61,100.0
40,90,1477.1,41.28,1126.41,1447.1,1461.15,1461.15,1466.0,90.86,193.18,101.41,78.6,91.65,91.65,100.0
41,123,1522.52,67.79,1177.11,1491.66,1507.07,1507.07,1516.0,90.85,192.98,101.41,89.12,91.83,91.83,100.0
42,90,1567.1,61.03,1216.41,1530.9,1550.88,1550.88,1556.0,90.85,193.52,101.41,101.52,92.37,92.37,100.0
43,121,1612.52,110.54,1267.11,1578.34,1597.12,1597.12,1606.0,90.84,99.02,101.41,94.88,92.49,92.49,100.0
44,103,1657.94,160.05,1317.81,1627.16,1643.63,1643.63,1656.0,90.84,99.02,101.41,97.63,93.01,93.01,100.0
45,136,1703.36,209.56,1368.52,1677.35,1690.39,1690.39,1706.0,90.84,99.02,101.41,100.39,93.52,93.52,100.0
46,77,1734.94,237.05,1394.81,1700.85,1720.38,1720.38,1733.0,90.84,99.02,101.41,107.0,94.03,94.03,100.0
