day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,108,49.34,7.82,32.49,49.34,49.34,49.34,50.0,98.69,200.36,151.01,98.69,98.69,98.69,100.0
1,95,95.0,1.85,49.2,94.36,95.0,95.0,95.0,98.69,201.94,156.6,99.97,98.69,98.69,100.0
2,99,144.33,0.71,72.32,142.86,144.34,144.34,144.0,98.65,200.29,151.74,97.0,98.69,98.69,100.0
3,94,189.0,-5.22,90.74,187.74,189.0,189.0,188.0,98.65,199.86,151.18,98.25,98.69,98.69,100.0
4,120,238.3,15.36,135.78,235.5,241.61,241.61,238.0,98.61,198.83,149.92,95.52,105.22,105.22,100.0
5,97,286.0,11.7,156.6,283.3,285.51,285.51,285.0,98.61,201.32,152.34,98.4,106.19,106.19,100.0
6,109,335.3,20.36,189.77,331.63,337.49,337.49,335.0,98.59,200.69,151.68,96.67,103.95,103.95,100.0
7,106,384.59,25.66,219.59,381.28,389.81,389.81,385.0,98.59,201.39,152.34,99.31,104.63,104.63,100.0
8,106,433.89,30.82,249.28,431.56,442.43,442.43,435.0,98.59,201.69,152.62,100.55,105.25,105.25,100.0
9,87,471.59,66.19,284.53,467.43,476.53,476.53,472.0,98.59,103.25,103.5,102.26,105.81,105.81,100.0
10,92,514.35,106.57,324.78,511.51,515.21,515.21,514.0,98.49,103.25,103.5,95.84,106.64,106.64,100.0
11,98,563.13,152.94,371.03,558.14,560.87,560.87,562.0,98.43,103.25,103.5,93.26,104.68,104.68,100.0
12,86,599.92,187.32,405.28,596.91,595.1,595.1,598.0,98.43,103.25,103.5,94.45,103.54,103.54,100.0
13,101,649.08,236.69,454.53,644.61,644.65,644.65,648.0,98.32,103.25,103.5,95.38,102.89,102.89,100.0
14,86,685.92,271.07,488.78,681.67,679.28,679.28,684.0,98.32,103.25,103.5,97.87,102.74,102.74,100.0
15,93,729.82,312.44,530.03,727.96,721.33,721.33,727.0,98.21,103.25,103.5,92.58,101.92,101.92,100.0
16,101,778.9,361.82,579.28,776.25,771.81,771.81,777.0,98.16,103.25,103.5,96.58,101.04,101.04,100.0
17,92,821.82,402.19,619.53,819.36,813.27,813.27,819.0,98.16,103.25,103.5,97.79,101.08,101.08,100.0
18,107,870.87,453.82,671.28,868.62,863.46,863.46,869.0,98.11,103.25,103.5,98.53,100.38,100.38,100.0
19,82,903.82,484.19,701.53,900.75,895.03,895.03,901.0,98.11,103.25,103.5,99.75,100.86,100.86,100.0
20,94,948.83,526.57,743.78,947.0,938.82,938.82,945.0,97.98,103.25,103.5,92.5,100.42,100.42,100.0
21,94,993.86,568.94,786.03,993.19,982.87,982.87,989.0,97.94,103.25,103.5,95.62,99.9,99.9,100.0
22,120,1042.81,620.57,837.78,1040.09,1032.59,1032.59,1039.0,97.91,103.25,103.5,93.8,99.45,99.45,100.0
23,103,1091.77,671.94,889.03,1090.54,1082.53,1082.53,1089.0,97.91,103.25,103.5,100.91,99.87,99.87,100.0
24,64,1106.81,684.32,901.28,1103.47,1096.39,1096.39,1103.0,97.91,103.25,103.5,102.14,100.28,100.28,100.0
25,94,1151.99,726.69,943.53,1147.82,1139.67,1139.67,1147.0,97.64,103.25,103.5,88.7,101.43,101.43,100.0
26,112,1200.8,778.32,995.28,1192.79,1190.12,1190.12,1197.0,97.61,103.25,103.5,89.93,100.9,100.9,100.0
27,102,1249.6,828.69,1045.53,1238.37,1240.84,1240.84,1247.0,97.61,103.25,103.5,91.17,101.45,101.45,100.0
28,102,1298.41,879.07,1095.78,1287.81,1291.83,1291.83,1297.0,97.61,103.25,103.5,105.12,101.97,101.97,100.0
29,99,1347.22,926.44,1143.03,1335.41,1339.59,1339.59,1346.0,97.61,103.25,103.5,102.8,102.48,102.48,100.0
30,103,1396.02,977.82,1194.28,1385.53,1390.73,1390.73,1396.0,97.61,103.25,103.5,100.23,102.27,102.27,100.0
31,86,1433.22,962.42,1203.86,1420.77,1425.35,1425.35,1432.0,97.61,202.79,152.84,101.52,102.74,102.74,100.0
32,103,1481.98,964.85,1230.96,1468.78,1476.34,1476.34,1482.0,97.52,201.14,151.8,96.03,101.98,101.98,100.0
33,100,1530.74,964.26,1255.04,1518.06,1525.13,1525.13,1532.0,97.52,201.19,151.84,98.55,102.42,102.42,100.0
34,103,1579.5,966.76,1282.21,1567.97,1576.3,1576.3,1582.0,97.52,201.0,151.65,99.82,102.32,102.32,100.0
35,96,1626.74,962.23,1302.36,1610.84,1620.93,1620.93,1628.0,97.52,201.05,151.7,106.26,102.74,102.74,100.0
36,113,1675.5,1013.2,1353.33,1661.6,1672.1,1672.1,1678.0,97.51,101.93,101.93,101.53,102.35,102.35,100.0
37,112,1724.25,1064.17,1404.29,1713.0,1723.47,1723.47,1728.0,97.51,101.93,101.93,102.8,102.73,102.73,100.0
38,113,1773.01,1115.13,1455.26,1765.05,1775.02,1775.02,1778.0,97.51,101.93,101.93,104.09,103.11,103.11,100.0
39,93,1817.25,1157.17,1497.29,1803.65,1816.29,1816.29,1821.0,97.51,101.93,101.93,108.8,103.48,103.48,100.0
40,102,1865.99,1208.13,1548.26,1854.54,1866.82,1866.82,1871.0,97.48,101.93,101.93,102.22,102.93,102.93,100.0
41,93,1910.25,1250.17,1590.29,1897.09,1908.32,1908.32,1914.0,97.48,101.93,101.93,100.9,103.0,103.0,100.0
42,94,1955.53,1293.2,1633.33,1942.61,1951.06,1951.06,1958.0,97.45,101.93,101.93,96.96,102.52,102.52,100.0
43,100,2004.24,1342.23,1682.36,1992.58,2000.0,2000.0,2008.0,97.43,101.93,101.93,99.95,102.12,102.12,100.0
44,87,2042.53,1378.27,1718.39,2028.95,2035.97,2035.97,2045.0,97.43,101.93,101.93,101.26,102.05,102.05,100.0
45,93,2086.85,1420.3,1760.43,2073.04,2078.19,2078.19,2088.0,97.35,101.93,101.93,97.83,101.57,101.57,100.0
46,85,2123.19,1454.33,1794.46,2110.08,2112.58,2112.58,2123.0,97.32,101.93,101.93,95.92,101.21,101.21,100.0
47,89,2163.57,1492.37,1832.49,2153.59,2151.19,2151.19,2162.0,97.24,101.93,101.93,90.97,100.78,100.78,100.0
48,110,2212.16,1543.33,1883.46,2200.47,2201.39,2201.28,2212.0,97.18,101.93,101.93,93.76,100.38,100.18,100.0
49,92,2255.57,1584.37,1924.49,2244.18,2243.06,2243.13,2254.0,97.18,101.93,101.93,96.59,100.65,100.31,100.0
50,95,2302.0,1628.4,1968.53,2290.47,2287.9,2288.51,2299.0,97.15,101.93,101.93,97.41,100.33,99.25,100.0
51,94,2347.43,1671.43,2011.56,2336.47,2331.84,2333.11,2343.0,97.14,101.93,101.93,96.0,100.12,98.8,100.0
52,108,2395.99,1722.4,2062.53,2383.51,2381.78,2382.49,2393.0,97.11,101.93,101.93,94.08,99.89,98.78,100.0
53,75,2422.43,1746.43,2086.56,2410.1,2406.72,2408.11,2418.0,97.11,101.93,101.93,96.82,100.13,98.78,100.0
54,94,2467.94,1789.47,2129.59,2454.59,2450.74,2452.77,2462.0,96.97,101.93,101.93,88.97,99.96,98.67,100.0
55,114,2516.42,1840.43,2180.56,2500.01,2500.61,2501.87,2512.0,96.95,101.93,101.93,90.85,99.75,98.2,100.0
56,102,2564.89,1891.4,2231.53,2546.04,2550.6,2551.16,2562.0,96.95,101.93,101.93,92.06,99.98,98.59,100.0
57,89,2605.42,1929.43,2269.56,2584.77,2589.49,2590.87,2601.0,96.95,101.93,101.93,100.55,100.22,98.59,100.0
58,96,2652.97,1974.47,2314.59,2632.47,2635.55,2637.88,2647.0,96.9,101.93,101.93,95.4,99.89,97.97,100.0
59,106,2701.42,2025.43,2365.56,2680.78,2685.43,2686.69,2697.0,96.9,101.93,101.93,96.63,99.76,97.6,100.0
60,104,2749.86,2076.4,2416.53,2729.71,2735.41,2735.82,2747.0,96.9,101.93,101.93,97.86,99.98,98.27,100.0
61,91,2792.42,2116.43,2456.56,2769.24,2776.32,2777.41,2788.0,96.9,101.93,101.93,102.94,100.19,98.82,100.0
62,107,2840.85,2167.4,2507.53,2818.08,2826.28,2826.71,2838.0,96.86,101.93,101.93,97.68,99.92,98.6,100.0
63,114,2889.28,2218.37,2558.49,2867.53,2876.34,2876.4,2888.0,96.86,101.93,101.93,98.9,100.12,99.37,100.0
64,99,2937.7,2266.4,2606.53,2916.47,2925.18,2925.55,2937.0,96.86,101.93,101.93,100.13,100.33,99.69,100.0
65,78,2967.28,2293.43,2633.56,2943.22,2953.02,2953.44,2965.0,96.86,101.93,101.93,102.5,100.31,100.22,100.0
66,108,3015.65,2344.4,2684.53,2989.74,3003.07,3003.47,3015.0,96.75,101.93,101.93,93.05,100.09,100.06,100.0
67,88,3055.28,2381.43,2721.56,3030.61,3040.92,3041.26,3053.0,96.75,101.93,101.93,94.26,100.29,100.43,100.0
68,97,3103.62,2427.47,2767.59,3076.24,3087.93,3088.1,3100.0,96.69,101.93,101.93,91.26,99.99,100.31,100.0
69,97,3151.97,2473.5,2813.63,3122.93,3134.98,3135.16,3147.0,96.69,101.93,101.93,100.62,99.9,99.88,100.0
70,107,3200.32,2524.47,2864.59,3172.02,3184.89,3185.38,3197.0,96.69,101.93,101.93,98.17,99.82,100.43,100.0
71,84,3235.97,2557.5,2897.63,3205.28,3218.89,3218.84,3231.0,96.69,101.93,101.93,101.48,100.01,101.06,100.0
72,98,3284.28,2604.53,2944.66,3252.46,3267.03,3266.43,3279.0,96.62,101.93,101.93,94.37,99.72,100.82,100.0
73,91,3326.97,2644.57,2984.69,3295.07,3308.18,3307.23,3320.0,96.62,101.93,101.93,96.78,99.69,100.41,100.0
74,97,3375.26,2690.6,3030.73,3341.86,3355.45,3354.37,3367.0,96.59,101.93,101.93,93.58,99.47,99.71,100.0
75,111,3423.56,2741.57,3081.69,3392.17,3405.15,3404.78,3417.0,96.59,101.93,101.93,100.61,99.41,100.81,100.0
76,91,3466.26,2781.6,3121.73,3432.25,3446.36,3445.06,3458.0,96.59,101.93,101.93,101.84,99.58,101.45,100.0
77,100,3514.54,2830.63,3170.76,3481.69,3496.05,3494.7,3508.0,96.56,101.93,101.93,98.89,99.37,100.72,100.0
78,93,3559.26,2872.67,3212.79,3524.64,3539.28,3537.5,3551.0,96.56,101.93,101.93,100.11,99.53,100.39,100.0
79,104,3607.53,2923.63,3263.76,3572.88,3588.96,3587.4,3601.0,96.54,101.93,101.93,96.49,99.37,99.79,100.0
80,108,3655.8,2974.6,3314.73,3623.53,3638.73,3637.5,3651.0,96.54,101.93,101.93,101.3,99.53,100.21,100.0
81,99,3704.07,3022.63,3362.76,3671.27,3687.89,3686.4,3700.0,96.54,101.93,101.93,102.52,99.68,100.21,100.0
82,94,3749.8,3065.67,3405.79,3714.02,3732.04,3730.06,3744.0,96.54,101.93,101.93,102.5,99.69,100.67,100.0
83,90,3791.54,3104.7,3444.83,3754.8,3772.27,3770.02,3784.0,96.52,101.93,101.93,98.43,99.55,100.09,100.0
84,110,3839.78,3155.67,3495.79,3801.99,3821.94,3819.91,3834.0,96.49,101.93,101.93,94.38,99.35,99.79,100.0
85,105,3888.02,3206.63,3546.76,3850.35,3871.69,3869.81,3884.0,96.49,101.93,101.93,96.73,99.49,99.79,100.0
86,102,3936.27,3257.6,3597.73,3900.73,3921.51,3919.96,3934.0,96.49,101.93,101.93,100.75,99.64,100.31,100.0
87,98,3984.51,3304.63,3644.76,3946.35,3969.62,3967.81,3982.0,96.49,101.93,101.93,104.76,99.78,100.31,100.0
88,98,4032.76,3351.67,3691.79,3993.69,4017.74,4015.86,4030.0,96.49,101.93,101.93,101.3,99.75,99.89,100.0
89,102,4081.0,3402.63,3742.76,4043.2,4067.6,4065.61,4080.0,96.49,101.93,101.93,99.0,99.72,99.5,100.0
90,111,4129.24,3453.6,3793.73,4093.29,4117.53,4115.65,4130.0,96.49,101.93,101.93,100.19,99.86,100.08,100.0
91,87,4168.0,3489.63,3829.76,4128.48,4154.54,4152.44,4167.0,96.49,101.93,101.93,103.63,99.99,100.42,100.0
92,100,4216.22,3538.67,3878.79,4177.46,4204.43,4202.3,4217.0,96.44,101.93,101.93,97.96,99.78,100.28,100.0
93,93,4261.0,3580.7,3920.83,4220.89,4247.47,4245.03,4260.0,96.44,101.93,101.93,99.14,99.91,100.55,100.0
94,82,4294.79,3611.73,3951.86,4254.95,4279.59,4276.86,4292.0,96.42,101.93,101.93,95.88,99.76,100.33,100.0
95,100,4342.96,3660.77,4000.89,4302.74,4329.38,4326.7,4342.0,96.35,101.93,101.93,95.58,99.58,100.32,100.0
96,88,4382.79,3697.8,4037.93,4342.37,4367.52,4364.39,4380.0,96.35,101.93,101.93,96.74,99.7,100.63,100.0
97,92,4426.64,3738.83,4078.96,4387.04,4409.77,4406.01,4422.0,96.3,101.93,101.93,94.65,99.51,100.75,100.0
98,86,4464.5,3773.87,4113.99,4424.45,4446.09,4441.59,4458.0,96.28,101.93,101.93,97.18,99.35,100.84,100.0
99,91,4507.38,3813.9,4154.03,4469.34,4487.51,4482.57,4499.0,96.23,101.93,101.93,92.23,99.16,100.04,100.0
100,106,4555.48,3864.87,4204.99,4516.1,4537.02,4532.58,4549.0,96.2,101.93,101.93,93.52,99.0,100.01,100.0
101,97,4603.58,3910.9,4251.03,4563.88,4584.45,4579.28,4596.0,96.2,101.93,101.93,95.56,99.12,100.59,100.0
102,90,4645.48,3949.93,4290.06,4603.66,4624.91,4618.93,4636.0,96.2,101.93,101.93,100.45,99.09,100.71,100.0
103,118,4693.57,4000.9,4341.03,4651.74,4674.38,4668.92,4686.0,96.17,101.93,101.93,96.17,98.93,99.98,100.0
104,92,4737.48,4041.93,4382.06,4695.07,4716.85,4710.32,4728.0,96.17,101.93,101.93,97.33,99.04,101.19,100.0
105,111,4785.56,4092.9,4433.03,4742.25,4766.31,4760.89,4778.0,96.15,101.93,101.93,94.36,98.91,101.13,100.0
106,94,4831.48,4135.93,4476.06,4786.76,4810.8,4804.32,4822.0,96.15,101.93,101.93,98.99,99.02,101.13,100.0
107,100,4879.55,4184.97,4525.09,4834.83,4860.26,4854.07,4872.0,96.14,101.93,101.93,96.14,98.93,100.5,100.0
108,84,4915.48,4218.0,4558.13,4869.29,4894.74,4887.62,4906.0,96.14,101.93,101.93,99.07,99.04,100.9,100.0
109,80,4947.44,4247.03,4587.16,4902.87,4925.31,4917.31,4936.0,96.08,101.93,101.93,92.84,98.87,100.63,100.0
110,90,4989.44,4286.07,4626.19,4947.37,4965.94,4957.41,4976.0,96.01,101.93,101.93,89.0,98.73,99.79,100.0
111,95,5036.45,4330.1,4670.23,4992.44,5011.65,5002.86,5021.0,95.98,101.93,101.93,90.14,98.59,99.1,100.0
112,86,5074.46,4365.13,4705.26,5030.29,5048.39,5039.25,5057.0,95.97,101.93,101.93,96.31,98.52,99.22,100.0
113,101,5122.42,4415.17,4755.29,5078.26,5097.57,5088.49,5107.0,95.93,101.93,101.93,95.94,98.36,98.49,100.0
114,105,5170.39,4419.52,4784.66,5126.81,5146.8,5137.74,5157.0,95.93,201.29,151.28,97.1,98.47,98.49,100.0
115,111,5218.35,4429.77,4819.57,5175.94,5196.09,5187.18,5207.0,95.93,201.51,152.16,98.26,98.57,98.89,100.0
116,115,5266.32,4443.67,4858.15,5227.37,5245.42,5237.15,5257.0,95.93,202.19,152.84,102.87,98.67,99.93,100.0
117,105,5314.28,4447.14,4886.29,5279.4,5294.81,5287.12,5307.0,95.93,203.07,153.73,104.06,98.78,99.93,100.0
118,94,5360.32,4488.92,4928.07,5320.77,5339.37,5330.75,5351.0,95.93,104.43,104.43,105.27,98.88,100.73,100.0
119,99,5408.28,4535.71,4974.86,5369.61,5388.77,5379.43,5400.0,95.92,104.43,104.43,100.32,98.79,100.64,100.0
120,83,5443.32,4566.49,5005.64,5403.25,5422.32,5412.05,5433.0,95.92,104.43,104.43,98.72,98.89,100.76,100.0
121,100,5491.25,4614.28,5053.43,5449.39,5471.69,5462.0,5483.0,95.86,104.43,104.43,92.28,98.74,99.9,100.0
122,96,5539.18,4658.07,5097.22,5496.8,5518.28,5507.59,5529.0,95.86,104.43,104.43,97.17,98.83,100.83,100.0
