day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,108,73.14,50.06,64.08,73.14,73.14,73.14,73.28,104.49,193.14,146.4,104.49,104.49,104.49,115.73
1,111,146.34,101.79,123.88,148.53,146.29,146.29,149.56,104.56,197.55,167.56,107.7,104.49,104.49,115.73
2,97,211.95,138.59,169.68,212.25,211.94,211.94,211.84,104.63,200.68,162.71,110.93,104.49,104.49,115.73
3,93,273.56,171.65,214.83,274.32,273.59,273.59,270.12,104.61,199.82,167.0,103.12,104.49,104.49,115.73
4,84,326.2,196.07,249.88,329.35,327.25,327.25,319.4,104.55,198.6,160.8,96.57,101.14,101.14,115.73
5,112,399.29,249.04,315.04,391.76,396.99,396.99,396.68,104.42,196.77,156.21,89.16,99.63,99.63,115.73
6,145,472.43,334.43,412.76,459.52,467.53,467.53,477.69,104.48,198.69,157.19,96.8,100.77,100.77,115.73
7,84,525.07,356.61,447.77,512.55,521.0,521.0,526.98,104.55,206.08,165.09,103.22,101.79,101.79,115.73
8,107,598.16,402.32,507.3,581.02,590.93,590.93,599.26,104.42,204.3,162.93,97.81,99.9,99.9,115.73
9,91,657.81,431.97,550.86,641.77,651.7,651.7,655.54,104.48,204.48,161.04,100.84,100.75,100.75,115.73
10,159,730.9,529.95,660.2,707.89,721.16,721.16,736.55,104.4,203.42,159.43,94.45,99.23,99.23,115.73
11,124,804.02,590.91,735.5,780.57,791.1,791.1,817.56,104.47,210.13,164.9,103.83,99.91,99.91,115.73
12,100,872.66,627.52,785.7,848.51,860.94,860.94,882.84,104.53,211.31,166.3,106.87,100.53,100.53,115.73
13,105,945.84,669.34,841.86,921.91,933.52,933.52,953.12,104.54,210.6,165.16,104.87,103.68,103.68,115.73
14,98,1012.46,704.26,890.62,987.54,1000.21,1000.21,1016.4,104.59,210.24,164.08,107.9,104.38,104.38,115.73
15,115,1085.67,756.4,956.21,1058.66,1073.56,1073.56,1096.68,104.58,209.55,163.03,101.6,104.79,104.79,115.73
16,159,1158.92,837.87,1036.48,1133.47,1147.36,1147.36,1177.69,104.64,116.38,118.35,106.87,105.43,105.43,115.73
17,73,1200.51,875.95,1075.08,1173.5,1188.55,1188.55,1215.98,104.7,116.38,118.35,109.88,106.04,106.04,115.73
18,127,1273.68,957.42,1155.36,1241.95,1264.61,1264.61,1296.99,104.52,116.38,118.35,97.77,108.66,108.66,115.73
19,72,1314.3,994.5,1192.95,1283.74,1303.79,1303.79,1334.27,104.58,116.38,118.35,100.68,109.41,109.41,115.73
20,101,1383.98,1060.59,1259.55,1345.35,1371.79,1371.79,1400.55,104.41,116.38,118.35,88.02,109.97,109.97,115.73
21,109,1457.08,1134.67,1334.15,1417.55,1447.56,1447.56,1474.83,104.42,116.38,118.35,103.13,110.78,110.78,115.73
22,92,1517.74,1191.76,1391.74,1477.72,1505.4,1505.4,1532.11,104.48,116.38,118.35,106.07,113.86,113.86,115.73
23,145,1590.83,1273.23,1472.02,1553.27,1583.94,1583.94,1613.12,104.42,116.38,118.35,107.93,112.2,112.2,115.73
24,63,1622.49,1301.31,1500.61,1583.0,1613.04,1613.04,1641.4,104.47,116.38,118.35,110.91,113.0,113.0,115.73
25,55,1646.2,1321.4,1521.21,1610.43,1633.66,1633.66,1661.68,104.29,116.38,118.35,91.9,114.6,114.6,115.73
26,111,1719.07,1397.48,1597.81,1667.3,1709.7,1709.7,1737.96,104.09,116.38,118.35,81.25,116.55,116.55,115.73
27,50,1737.82,1412.57,1613.4,1692.09,1724.17,1724.17,1753.24,104.15,116.38,118.35,84.06,118.42,118.42,115.73
28,122,1810.6,1494.04,1693.68,1752.03,1807.88,1807.88,1834.26,103.96,116.38,118.35,85.63,119.58,119.58,115.73
29,138,1883.41,1575.5,1773.95,1822.59,1892.4,1892.4,1915.27,104.01,116.38,118.35,100.8,120.74,120.74,115.73
30,97,1949.19,1637.59,1836.55,1888.46,1952.84,1952.84,1977.55,104.06,116.38,118.35,103.77,121.85,121.85,115.73
31,83,2000.97,1685.67,1885.15,1938.5,1999.6,1999.6,2025.83,104.05,116.38,118.35,109.86,120.8,120.8,115.73
32,95,2064.79,1745.76,1945.74,2004.15,2058.94,2058.94,2086.11,103.94,116.38,118.35,97.83,118.88,118.88,115.73
33,92,2125.61,1802.85,2003.34,2067.98,2115.57,2115.57,2143.39,103.91,116.38,118.35,93.9,117.87,117.87,115.73
34,122,2198.32,1884.31,2083.61,2132.76,2197.27,2197.27,2224.4,103.86,116.38,118.35,92.54,116.7,116.7,115.73
