day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,71,26.27,-16.73,5.64,26.27,26.27,26.27,21.0,89.46,175.46,130.73,89.46,89.46,89.46,100.0
1,113,70.91,10.42,54.27,64.6,71.0,71.0,71.0,89.28,171.71,128.73,76.66,89.46,89.46,100.0
2,134,115.55,55.49,121.01,106.1,115.73,115.73,121.0,89.28,177.86,134.53,83.0,89.46,89.46,100.0
3,131,160.19,93.76,181.06,149.25,160.46,160.46,171.0,89.28,185.46,141.9,86.3,89.46,89.46,100.0
4,113,204.82,111.53,220.69,197.13,210.9,210.9,221.0,89.28,190.46,146.73,95.75,100.88,100.88,100.0
5,54,214.19,69.55,200.64,201.57,213.49,213.49,225.0,89.28,191.96,148.1,99.12,102.82,102.82,100.0
6,157,258.66,133.26,272.12,241.8,266.81,266.81,275.0,88.94,186.57,142.95,80.46,106.65,106.65,100.0
7,125,303.13,161.98,323.4,283.65,321.54,321.54,325.0,88.94,192.56,147.43,83.7,109.44,109.44,100.0
8,130,347.6,194.7,378.68,327.11,377.52,377.52,375.0,88.94,194.55,149.45,86.93,111.98,111.98,100.0
9,82,385.13,178.39,384.9,356.51,402.38,402.38,407.0,88.94,196.63,151.56,105.2,114.29,114.29,100.0
10,57,397.69,138.05,367.07,366.49,406.48,406.48,414.0,88.88,194.69,149.65,94.04,105.8,105.8,100.0
11,106,441.99,148.42,400.21,405.57,457.22,457.22,464.0,88.59,191.25,145.73,78.16,101.48,101.48,100.0
12,127,486.28,179.66,454.18,446.24,508.84,508.84,514.0,88.59,191.53,146.06,81.34,103.23,103.23,100.0
13,105,530.58,188.12,485.35,492.36,561.27,561.27,564.0,88.59,193.08,147.66,92.24,104.86,104.86,100.0
14,101,574.88,192.53,512.45,539.45,609.07,609.07,614.0,88.59,193.17,147.79,107.83,106.4,106.4,100.0
15,125,619.17,221.03,563.62,590.62,664.31,664.31,664.0,88.59,193.02,147.67,102.34,110.48,110.48,100.0
16,82,656.88,205.95,571.2,619.78,690.29,690.29,696.0,88.59,194.14,148.83,105.68,112.04,112.04,100.0
17,78,690.61,187.45,575.34,650.58,714.61,714.61,724.0,88.54,193.01,147.73,94.41,107.35,107.35,100.0
18,109,734.83,200.55,611.07,694.5,766.28,766.28,774.0,88.45,191.79,146.54,87.85,103.32,103.32,100.0
19,107,779.06,211.5,644.64,740.0,818.52,818.52,824.0,88.45,192.1,146.86,91.0,104.49,104.49,100.0
20,89,823.28,204.36,660.1,777.97,854.72,854.72,863.0,88.45,192.29,147.08,102.06,105.6,105.6,100.0
21,75,854.06,183.51,661.84,803.02,877.73,877.73,888.0,88.45,191.71,146.52,99.91,103.97,103.97,100.0
22,100,898.23,188.2,689.11,847.16,927.25,927.25,938.0,88.34,190.62,145.45,88.28,100.96,100.96,100.0
23,92,942.4,184.91,708.4,892.85,968.0,968.0,980.0,88.34,190.58,145.42,91.39,102.5,102.5,100.0
24,60,958.23,149.79,695.86,903.42,977.11,977.11,990.0,88.34,190.24,145.1,98.87,101.78,101.78,100.0
25,90,1002.28,145.4,714.03,947.98,1017.0,1017.0,1030.0,88.11,188.78,143.66,90.88,100.22,100.22,100.0
26,97,1046.34,148.17,739.35,991.67,1064.26,1064.26,1077.0,88.11,188.46,143.35,87.39,99.48,99.48,100.0
27,84,1086.28,137.97,751.7,1030.44,1098.38,1098.38,1111.0,88.11,188.39,143.3,90.47,99.75,99.75,100.0
28,66,1108.24,110.02,746.29,1047.41,1115.11,1115.11,1127.0,88.08,187.91,142.83,98.05,98.55,98.55,100.0
29,90,1152.2,106.57,765.38,1089.59,1156.54,1156.54,1167.0,87.91,186.9,141.82,84.36,97.14,97.14,100.0
30,73,1181.24,86.23,767.58,1118.88,1181.19,1181.19,1190.0,87.91,186.67,141.61,87.42,96.7,96.7,100.0
31,99,1225.14,92.25,796.12,1159.64,1228.92,1228.92,1239.0,87.79,185.96,140.91,81.52,95.46,95.46,100.0
32,70,1251.24,69.24,795.63,1182.03,1250.85,1250.85,1259.0,87.79,186.03,140.99,95.23,96.15,96.15,100.0
33,147,1295.07,117.15,843.4,1223.82,1298.33,1298.33,1309.0,87.66,95.83,95.53,83.57,94.98,94.98,100.0
