day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,120,44.69,26.81,49.16,44.69,44.69,44.69,50.0,89.38,186.38,141.69,89.38,89.38,89.38,100.0
1,111,89.38,41.74,82.06,90.9,89.38,89.38,100.0,89.38,192.13,156.19,92.42,89.38,89.38,100.0
2,139,134.07,83.86,143.01,138.63,134.07,134.07,150.0,89.38,193.78,156.09,95.46,89.38,89.38,100.0
3,174,178.76,158.08,223.36,187.88,178.76,178.76,200.0,89.38,199.55,160.69,98.5,89.38,89.38,100.0
4,55,189.07,108.75,194.82,192.1,185.26,185.26,205.0,89.38,208.67,167.07,101.55,97.0,97.0,100.0
5,111,233.6,119.43,227.56,233.5,224.21,224.21,255.0,89.05,200.63,156.53,82.79,144.1,144.1,100.0
6,118,278.12,137.13,267.34,276.35,274.43,274.43,305.0,89.05,200.6,156.43,85.7,135.56,135.56,100.0
7,116,322.65,152.49,304.81,320.66,323.83,323.83,355.0,89.05,201.28,157.06,88.62,133.21,133.21,100.0
8,121,367.18,172.67,347.12,374.18,379.89,379.89,405.0,89.05,201.65,157.39,107.04,129.88,129.88,100.0
9,71,393.65,187.17,361.42,390.09,386.51,386.51,426.0,89.05,113.0,113.39,110.17,128.77,128.77,100.0
10,81,430.2,211.67,385.73,424.11,405.58,405.58,457.0,88.89,113.0,113.39,93.95,123.85,123.85,100.0
11,70,455.8,225.17,399.03,450.85,416.06,416.06,477.0,88.82,113.0,113.39,86.53,119.05,119.05,100.0
12,78,489.47,246.67,420.34,489.79,436.49,436.49,505.0,88.65,113.0,113.39,77.87,115.14,115.14,100.0
13,78,523.19,268.17,441.64,520.91,458.64,458.64,533.0,88.56,113.0,113.39,93.76,111.69,111.69,100.0
14,104,567.42,315.67,488.95,565.77,508.26,508.26,583.0,88.46,113.0,113.39,89.73,108.77,108.77,100.0
15,79,602.19,338.17,511.25,595.71,533.21,533.21,612.0,88.46,113.0,113.39,98.14,108.09,108.09,100.0
16,93,646.38,374.67,547.56,640.06,573.26,573.26,655.0,88.38,113.0,113.39,88.7,105.92,105.92,100.0
17,57,659.19,375.17,547.86,648.65,577.9,577.9,662.0,88.38,113.0,113.39,96.82,104.71,104.71,100.0
18,64,679.14,382.67,555.16,672.43,590.49,590.49,676.0,88.12,113.0,113.39,80.44,102.82,102.82,100.0
19,137,723.09,439.17,611.86,711.54,640.96,640.96,726.0,87.91,113.0,113.39,78.22,100.93,100.93,100.0
20,104,767.05,486.67,659.16,752.06,692.25,692.25,776.0,87.91,113.0,113.39,81.04,102.58,102.58,100.0
21,56,779.09,486.17,658.47,759.49,696.17,696.17,782.0,87.91,113.0,113.39,97.13,104.16,104.16,100.0
22,153,822.92,542.67,715.16,802.39,747.33,747.33,832.0,87.65,113.0,113.39,85.8,102.31,102.31,100.0
23,140,866.74,599.17,771.86,846.72,799.23,799.23,882.0,87.65,113.0,113.39,88.67,103.81,103.81,100.0
24,76,898.92,618.67,791.16,876.96,822.61,822.61,908.0,87.65,113.0,113.39,91.53,105.26,105.26,100.0
25,40,895.14,602.17,774.47,868.45,810.83,810.83,898.0,87.56,113.0,113.39,97.02,103.55,103.55,100.0
26,112,938.73,657.67,829.77,905.92,861.93,861.93,948.0,87.18,113.0,113.39,74.95,102.19,102.19,100.0
27,94,982.32,695.17,867.08,944.81,904.14,904.14,992.0,87.18,113.0,113.39,77.79,103.57,103.57,100.0
28,104,1025.91,742.67,914.38,987.71,955.59,955.59,1042.0,87.18,113.0,113.39,85.8,102.9,102.9,100.0
29,125,1069.5,799.17,971.08,1041.54,1007.67,1007.67,1092.0,87.18,113.0,113.39,107.66,104.16,104.16,100.0
30,110,1113.09,852.67,1024.38,1096.16,1060.37,1060.37,1142.0,87.18,113.0,113.39,110.77,105.39,105.39,100.0
31,85,1154.5,836.08,1030.34,1127.27,1092.08,1092.08,1177.0,87.18,203.18,158.08,107.77,106.58,106.58,100.0
32,81,1191.92,816.8,1034.01,1159.7,1120.42,1120.42,1208.0,87.16,200.56,154.66,97.15,105.3,105.3,100.0
33,75,1223.36,792.77,1032.89,1190.33,1143.42,1143.42,1233.0,87.12,198.05,152.25,88.74,104.0,104.0,100.0
34,89,1266.87,784.04,1047.02,1231.01,1181.11,1181.11,1272.0,87.03,195.46,149.74,81.37,102.64,102.64,100.0
35,79,1302.36,765.93,1051.72,1264.12,1209.16,1209.16,1301.0,87.03,194.24,148.6,91.79,101.88,101.88,100.0
36,131,1345.84,800.67,1109.25,1309.07,1259.58,1259.58,1351.0,86.97,192.51,146.94,89.91,100.83,100.83,100.0
37,161,1389.33,864.54,1183.62,1357.75,1310.44,1310.44,1401.0,86.97,194.26,148.73,97.35,101.74,101.74,100.0
38,63,1408.84,828.76,1170.94,1370.61,1322.13,1322.13,1414.0,86.97,197.56,151.36,100.27,102.62,102.62,100.0
39,180,1452.24,911.24,1245.4,1415.16,1372.81,1372.81,1464.0,86.8,195.05,148.94,89.08,101.35,101.35,100.0
40,86,1494.84,897.76,1255.76,1455.19,1407.71,1407.71,1500.0,86.8,198.96,151.29,91.92,102.2,102.2,100.0
41,100,1538.24,898.87,1280.63,1498.7,1456.99,1456.99,1550.0,86.79,197.78,150.26,87.01,101.43,101.43,100.0
42,94,1581.63,894.18,1299.63,1541.58,1500.29,1500.29,1594.0,86.79,197.38,149.99,102.24,101.41,101.41,100.0
43,83,1621.24,878.81,1307.9,1576.26,1532.76,1532.76,1627.0,86.79,196.74,149.48,96.64,101.06,101.06,100.0
44,70,1647.86,850.97,1303.63,1600.68,1552.59,1552.59,1647.0,86.76,195.68,148.53,91.16,100.32,100.32,100.0
45,64,1668.53,817.88,1294.07,1624.11,1566.91,1566.91,1661.0,86.65,194.17,147.12,81.14,99.38,99.38,100.0
46,187,1711.78,908.61,1366.86,1661.7,1616.13,1616.13,1711.0,86.49,192.54,145.58,75.19,98.44,98.44,100.0
47,65,1733.53,875.73,1358.21,1685.46,1631.56,1631.56,1726.0,86.49,195.76,147.3,82.48,99.12,99.12,100.0
48,85,1775.36,863.61,1370.25,1725.83,1667.46,1668.18,1761.0,86.35,194.23,145.91,80.73,98.21,96.77,100.0
49,109,1818.53,875.85,1406.59,1770.44,1716.31,1716.2,1811.0,86.34,193.52,145.33,89.22,97.71,96.05,100.0
50,82,1857.36,861.01,1415.78,1806.42,1749.14,1750.05,1843.0,86.34,193.69,145.62,92.03,98.34,96.29,100.0
51,127,1900.51,891.53,1470.28,1852.24,1798.02,1797.6,1893.0,86.31,192.95,144.99,91.64,97.76,95.09,100.0
52,104,1943.67,943.37,1520.86,1899.46,1847.2,1845.15,1943.0,86.31,104.32,101.16,94.45,98.36,95.09,100.0
53,144,1986.82,995.53,1571.44,1948.1,1896.68,1892.69,1993.0,86.31,104.32,101.16,97.26,98.96,95.09,100.0
54,109,2029.98,1047.69,1622.02,1999.81,1946.45,1940.24,2043.0,86.31,104.32,101.16,103.43,99.54,95.09,100.0
55,57,2043.82,1052.53,1628.44,2003.65,1953.39,1948.68,2050.0,86.31,104.32,101.16,106.32,100.11,97.11,100.0
56,129,2086.88,1104.69,1679.02,2047.14,2003.04,1996.6,2100.0,86.12,104.32,101.16,86.98,99.29,95.84,100.0
