day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,135,72.41,80.71,94.31,72.41,72.41,72.41,81.01,103.44,180.98,134.72,103.44,103.44,103.44,115.73
1,57,98.36,77.57,102.15,97.42,98.38,98.38,103.29,103.51,200.44,163.84,106.62,103.44,103.44,115.73
2,105,170.64,124.57,162.73,158.13,170.78,170.78,173.57,103.26,193.34,147.26,86.72,103.44,103.44,115.73
3,94,233.64,159.76,210.26,220.95,233.75,233.75,232.85,103.33,196.03,151.46,89.74,103.44,103.44,115.73
4,121,305.94,221.99,284.98,285.88,309.64,309.64,313.87,103.29,195.9,153.13,92.77,108.41,108.41,115.73
5,87,361.94,248.94,324.24,339.19,362.98,362.98,366.15,103.36,200.16,157.55,112.33,112.2,112.2,115.73
6,107,434.22,296.32,384.64,409.65,437.66,437.66,438.43,103.26,198.74,157.5,100.66,107.74,107.74,115.73
7,62,465.22,298.39,400.06,440.53,464.66,464.66,465.71,103.32,199.76,154.62,103.75,116.66,116.66,115.73
8,108,537.39,347.28,461.18,501.13,539.25,539.25,538.99,103.1,197.05,153.47,86.57,111.36,111.36,115.73
9,106,609.6,393.82,520.15,569.7,610.62,610.62,610.27,103.16,198.18,155.77,97.97,115.45,115.45,115.73
10,128,681.86,462.16,600.85,640.4,692.24,692.24,691.28,103.22,198.89,156.18,101.0,116.61,116.61,115.73
11,58,708.88,459.63,610.79,663.01,714.36,714.36,714.56,103.29,201.75,157.28,117.97,119.62,119.62,115.73
12,98,775.96,497.74,661.27,729.38,777.42,777.42,777.84,103.07,199.64,158.13,94.8,116.45,116.45,115.73
13,114,848.11,551.88,728.08,797.83,856.81,856.81,857.12,103.07,199.53,157.3,97.79,115.39,115.39,115.73
14,129,920.3,620.71,809.72,868.38,939.43,939.43,938.13,103.13,200.59,156.33,100.79,118.03,118.03,115.73
15,112,992.53,671.88,873.7,943.25,1015.27,1015.27,1015.41,103.19,202.76,159.77,123.79,120.55,120.55,115.73
16,96,1057.56,706.87,921.04,1004.15,1074.75,1074.75,1076.69,103.25,203.35,162.44,116.99,121.7,121.7,115.73
