day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,85,38.13,-13.7,9.73,38.13,38.13,38.13,35.0,93.74,197.41,150.54,93.74,93.74,93.74,100.0
1,45,36.3,-65.07,-18.95,39.97,36.26,36.26,30.0,93.65,192.74,147.37,86.32,93.74,93.74,100.0
2,71,60.72,-85.04,-19.49,75.18,60.39,60.39,51.0,93.18,181.94,143.07,70.43,93.74,93.74,100.0
3,47,61.23,-127.58,-40.76,85.56,60.52,60.52,48.0,92.96,179.07,136.54,73.23,93.74,93.74,100.0
4,62,76.97,-152.38,-42.26,115.66,73.92,73.92,60.0,92.52,173.6,127.01,63.81,97.2,97.2,100.0
5,95,123.09,-143.06,-9.64,152.43,119.82,119.82,105.0,92.23,171.36,124.74,73.54,91.8,91.8,100.0
6,83,159.97,-146.71,10.04,190.67,154.25,154.25,138.0,92.23,173.3,126.65,76.48,97.14,97.14,100.0
7,126,206.05,-107.53,72.56,234.77,201.4,201.4,188.0,92.14,173.64,126.97,88.2,94.3,94.3,100.0
8,86,245.97,-110.44,92.98,274.84,238.26,238.26,224.0,92.14,177.83,131.14,91.87,98.29,98.29,100.0
9,107,292.02,-92.44,134.34,318.23,286.29,286.29,274.0,92.09,177.99,131.29,86.78,96.07,96.07,100.0
10,88,333.97,-94.31,155.83,361.32,324.69,324.69,312.0,92.09,179.74,133.02,89.81,99.21,99.21,100.0
11,114,380.0,-70.25,203.25,404.39,373.39,373.39,362.0,92.05,179.88,133.16,86.12,97.42,97.42,100.0
12,48,381.97,-113.12,183.75,406.85,371.4,371.4,360.0,92.05,181.74,135.0,91.08,99.99,99.99,100.0
13,79,415.15,-123.74,196.5,443.47,402.01,402.01,389.0,91.66,179.24,132.5,73.25,96.77,96.77,100.0
14,68,437.37,-145.17,198.45,473.08,422.66,422.66,407.0,91.55,178.86,132.11,76.78,94.71,94.71,100.0
15,108,483.04,-126.12,240.88,508.36,468.84,468.84,457.0,91.34,177.91,131.15,70.57,92.36,92.36,100.0
16,96,528.71,-119.7,270.68,552.28,515.99,515.99,503.0,91.34,179.16,132.4,87.84,94.31,94.31,100.0
17,132,574.39,-77.55,336.22,597.72,564.08,564.08,553.0,91.34,179.69,132.92,90.88,96.17,96.17,100.0
18,111,620.06,-57.49,379.66,646.15,613.04,613.04,603.0,91.34,181.88,135.11,96.86,97.92,97.92,100.0
19,116,665.73,-32.95,427.59,696.12,662.84,662.84,653.0,91.34,182.92,136.14,99.93,99.6,99.6,100.0
20,24,644.06,-100.99,382.94,668.61,636.24,636.24,627.0,91.34,184.09,137.3,103.01,101.19,101.19,100.0
21,80,678.66,-111.66,395.28,705.33,665.94,665.94,657.0,90.79,181.32,135.33,73.45,100.6,100.6,100.0
22,141,724.01,-61.17,462.77,743.56,715.31,715.31,707.0,90.7,181.02,134.99,76.45,98.74,98.74,100.0
23,139,769.36,-13.71,531.17,783.28,765.49,765.49,757.0,90.7,183.09,136.79,79.45,100.35,100.35,100.0
24,100,814.71,-6.17,561.9,828.89,814.53,814.53,807.0,90.7,184.93,138.53,108.79,101.91,101.91,100.0
25,139,860.06,40.21,631.32,880.27,865.69,865.69,857.0,90.7,185.24,138.83,102.76,102.32,102.32,100.0
26,89,903.71,35.77,650.09,916.3,902.81,902.81,896.0,90.7,186.88,140.44,105.94,103.77,103.77,100.0
27,38,896.37,-19.6,617.95,905.75,889.46,889.46,884.0,90.69,186.74,140.29,97.1,102.7,102.7,100.0
28,65,916.23,-47.08,613.81,932.21,904.08,904.08,899.0,90.27,184.97,138.28,77.07,100.76,100.76,100.0
29,83,954.19,-56.16,628.08,967.06,937.78,937.78,932.0,90.08,184.15,137.45,69.7,98.61,98.61,100.0
30,134,999.21,-14.12,693.47,1006.24,986.55,986.55,982.0,90.02,183.92,137.22,78.36,97.56,97.56,100.0
31,76,1030.19,-30.72,700.22,1031.69,1013.17,1013.17,1008.0,90.02,185.21,138.51,101.11,98.77,98.77,100.0
32,101,1075.15,-22.11,732.19,1078.42,1061.85,1061.85,1058.0,89.92,184.77,138.06,93.47,97.36,97.36,100.0
33,52,1082.19,-62.63,715.03,1082.12,1064.62,1064.62,1060.0,89.92,185.05,138.33,96.6,98.47,98.47,100.0
34,154,1127.01,-0.62,783.66,1121.33,1112.93,1112.93,1110.0,89.63,183.98,137.26,78.41,96.64,96.64,100.0
35,143,1171.83,49.55,852.91,1166.24,1161.78,1161.78,1160.0,89.63,185.66,138.5,89.83,97.69,97.69,100.0
