day,d,bm,fl,dcl,ai,mle,mle50,op,bm_q,fl_q,dcl_q,ai_q,mle_q,mle50_q,op_q
0,90,40.57,-11.76,12.95,40.57,40.57,40.57,40.0,98.86,203.53,154.1,98.86,98.86,98.86,100.0
1,91,82.18,-20.69,27.24,85.0,82.14,82.14,81.0,98.77,199.86,153.43,93.14,98.86,98.86,100.0
2,91,123.84,-28.62,43.92,129.69,123.71,123.71,122.0,98.7,197.86,148.63,92.62,98.86,98.86,100.0
3,113,173.15,-13.89,83.29,175.09,173.14,173.14,172.0,98.62,196.53,147.26,90.8,98.86,98.86,100.0
4,101,222.46,-12.25,109.58,222.53,221.22,221.22,222.0,98.62,198.72,149.43,94.88,105.85,105.85,100.0
5,103,271.77,-8.68,137.8,270.92,271.99,271.99,272.0,98.62,198.86,149.56,96.77,104.46,104.46,100.0
6,111,321.08,2.73,173.86,320.17,323.97,323.97,322.0,98.62,199.19,149.87,98.49,103.96,103.96,100.0
7,107,370.39,9.6,205.4,370.01,376.57,376.57,372.0,98.62,200.26,150.93,99.68,105.22,105.22,100.0
8,98,419.08,7.21,227.68,417.57,421.4,421.4,420.0,98.62,200.77,151.43,100.88,106.35,106.35,100.0
9,111,468.39,17.99,263.13,466.93,473.88,473.88,470.0,98.62,200.44,151.1,98.72,104.97,104.97,100.0
10,108,517.69,25.41,295.22,516.88,526.81,526.81,520.0,98.62,201.17,151.81,99.89,105.86,105.86,100.0
11,93,561.39,67.05,336.83,559.35,566.47,566.47,563.0,98.62,102.71,102.79,101.06,106.67,106.67,100.0
12,104,610.67,118.41,388.22,608.4,617.84,617.84,613.0,98.57,102.71,102.79,98.11,105.26,105.26,100.0
13,113,659.95,169.77,439.62,658.03,670.42,670.42,663.0,98.57,102.71,102.79,99.26,105.15,105.15,100.0
14,99,709.23,217.41,487.22,706.83,716.52,716.52,712.0,98.57,102.71,102.79,100.41,105.8,105.8,100.0
15,96,755.95,262.05,531.83,752.1,760.03,760.03,758.0,98.57,102.71,102.79,101.46,104.98,104.98,100.0
16,100,805.22,310.69,580.44,801.33,807.96,807.96,808.0,98.54,102.71,102.79,98.46,104.13,104.13,100.0
17,99,854.5,358.34,628.05,850.53,855.12,855.12,857.0,98.54,102.71,102.79,99.59,103.68,103.68,100.0
18,95,900.22,401.98,671.65,896.18,898.51,898.51,902.0,98.54,102.71,102.79,98.72,103.23,103.23,100.0
19,101,949.48,451.62,721.26,945.24,948.18,948.18,952.0,98.51,102.71,102.79,98.13,102.67,102.67,100.0
20,99,998.74,499.27,768.87,994.62,995.93,995.93,1001.0,98.51,102.71,102.79,99.25,102.5,102.5,100.0
