day,d,op,mle,mle20,mle30,mle50,mle100,mle150,mle200,mle300,mle500
0,135,50.0,46.26,46.26,46.26,46.26,46.26,46.26,46.26,46.26,46.26
1,57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
2,105,107.0,103.26,103.26,103.26,103.26,103.26,103.26,103.26,103.26,103.26
3,94,151.0,149.52,149.52,149.52,149.52,149.52,149.52,149.52,149.52,149.52
4,121,201.0,194.95,194.95,194.95,194.95,194.95,194.95,194.95,194.95,194.95
5,87,238.0,235.42,235.42,235.42,235.42,235.42,235.42,235.42,235.42,235.42
6,107,288.0,283.2,283.2,283.2,283.2,283.2,283.2,283.2,283.2,283.2
7,62,300.0,296.38,296.38,296.38,296.38,296.38,296.38,296.38,296.38,296.38
8,108,350.0,342.03,342.03,342.03,342.03,342.03,342.03,342.03,342.03,342.03
9,106,400.0,388.51,388.51,388.51,388.51,388.51,388.51,388.51,388.51,388.51
10,128,450.0,435.75,435.75,435.75,435.75,435.75,435.75,435.75,435.75,435.75
11,58,458.0,445.8,445.8,445.8,445.8,445.8,445.8,445.8,445.8,445.8
12,98,506.0,491.53,491.53,491.53,491.53,491.53,491.53,491.53,491.53,491.53
13,114,556.0,537.88,537.88,537.88,537.88,537.88,537.88,537.88,537.88,537.88
14,129,606.0,584.82,584.82,584.82,584.82,584.82,584.82,584.82,584.82,584.82
15,112,656.0,632.32,632.32,632.32,632.32,632.32,632.32,632.32,632.32,632.32
16,96,702.0,680.3,680.3,680.3,680.3,680.3,680.3,680.3,680.3,680.3
17,69,721.0,697.59,697.59,697.59,697.59,697.59,697.59,697.59,697.59,697.59
18,58,729.0,706.37,704.89,706.37,706.37,706.37,706.37,706.37,706.37,706.37
19,54,733.0,712.84,707.45,712.84,712.84,712.84,712.84,712.84,712.84,712.84
20,102,783.0,759.04,753.58,759.04,759.04,759.04,759.04,759.04,759.04,759.04
21,86,819.0,798.34,793.45,798.34,798.34,798.34,798.34,798.34,798.34,798.34
22,106,869.0,845.18,842.19,845.18,845.18,845.18,845.18,845.18,845.18,845.18
23,69,888.0,866.87,862.45,866.87,866.87,866.87,866.87,866.87,866.87,866.87
24,37,875.0,857.83,853.1,857.83,857.83,857.83,857.83,857.83,857.83,857.83
25,118,925.0,904.04,897.94,904.04,904.04,904.04,904.04,904.04,904.04,904.04
26,65,940.0,922.35,916.9,922.35,922.35,922.35,922.35,922.35,922.35,922.35
27,51,941.0,927.84,924.16,927.84,927.84,927.84,927.84,927.84,927.84,927.84
28,119,991.0,972.35,967.69,972.81,972.35,972.35,972.35,972.35,972.35,972.35
29,115,1041.0,1017.28,1011.22,1019.19,1017.28,1017.28,1017.28,1017.28,1017.28,1017.28
30,68,1059.0,1039.94,1035.69,1042.4,1039.94,1039.94,1039.94,1039.94,1039.94,1039.94
31,106,1109.0,1084.41,1077.46,1085.86,1084.41,1084.41,1084.41,1084.41,1084.41,1084.41
32,118,1159.0,1129.25,1121.51,1131.08,1129.25,1129.25,1129.25,1129.25,1129.25,1129.25
33,98,1207.0,1174.45,1165.56,1176.3,1174.45,1174.45,1174.45,1174.45,1174.45,1174.45
34,109,1257.0,1220.01,1209.61,1221.53,1220.01,1220.01,1220.01,1220.01,1220.01,1220.01
35,78,1285.0,1252.11,1243.56,1254.3,1252.11,1252.11,1252.11,1252.11,1252.11,1252.11
36,149,1335.0,1297.64,1286.44,1299.49,1297.64,1297.64,1297.64,1297.64,1297.64,1297.64
37,133,1385.0,1343.5,1329.85,1344.67,1343.5,1343.5,1343.5,1343.5,1343.5,1343.5
38,89,1424.0,1386.33,1373.34,1386.64,1386.33,1386.33,1386.33,1386.33,1386.33,1386.33
39,143,1474.0,1432.98,1421.69,1433.73,1432.98,1432.98,1432.98,1432.98,1432.98,1432.98
40,103,1524.0,1479.94,1472.37,1480.82,1479.94,1479.94,1479.94,1479.94,1479.94,1479.94
41,128,1574.0,1527.2,1525.37,1527.9,1527.2,1527.2,1527.2,1527.2,1527.2,1527.2
42,113,1624.0,1574.76,1581.09,1577.2,1574.76,1574.76,1574.76,1574.76,1574.76,1574.76
43,132,1674.0,1622.6,1636.8,1626.5,1622.6,1622.6,1622.6,1622.6,1622.6,1622.6
44,119,1724.0,1670.73,1695.47,1675.8,1670.73,1670.73,1670.73,1670.73,1670.73,1670.73
45,117,1774.0,1719.13,1742.74,1725.11,1719.13,1719.13,1719.13,1719.13,1719.13,1719.13
46,55,1779.0,1725.46,1729.19,1730.8,1725.46,1725.46,1725.46,1725.46,1725.46,1725.46
47,117,1829.0,1773.23,1776.66,1778.6,1773.23,1773.23,1773.23,1773.23,1773.23,1773.23
48,99,1878.0,1821.26,1801.04,1827.84,1821.66,1821.26,1821.26,1821.26,1821.26,1821.26
49,124,1928.0,1869.55,1854.94,1881.53,1871.27,1869.55,1869.55,1869.55,1869.55,1869.55
