Scenario,bm,dcl,ai,mle,op,mle50
A CritR = 0.7,95.77,93.21,96.6,99.93,100,83.79
A CritR = 0.5,93.38,98.28,98.99,99.95,100,87.12
A CritR = 0.3,85.93,64.35,90.24,99.9,100,87.42
B CritR = 0.7,66.16,95.49,97.31,79.82,100,92.05
B CritR = 0.5,58.89,98.09,98.51,72.42,100,93.03
B CritR = 0.3,50.18,80.43,93.09,66.18,100,92.85
C CritR = 0.7,73.38,93.66,93.63,83.51,100,70.55
C CritR = 0.5,74.48,96.41,93.16,72.35,100,83.46
C CritR = 0.3,74.93,73.73,83.17,60.29,100,83.28
D CritR = 0.7,66.51,92.81,95.86,83.02,100,85.98
D CritR = 0.5,54.3,93.12,97.23,71.24,100,89.14
D CritR = 0.3,38.47,73.11,90.41,54.4,100,87.62
E CritR = 0.7,82.3,88.73,94.58,82.63,100,84.63
E CritR = 0.5,77.16,89.92,95.92,73.46,100,74.7
E CritR = 0.3,69.39,67.5,81.64,59.59,100,69.3
F CritR = 0.7,51.42,93.09,96.29,63.66,100,65.57
F CritR = 0.5,39.63,94.52,97.18,47.37,100,85.15
F CritR = 0.3,26.51,77.09,90.78,28.31,100,84.85
